"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,187.158946,25.308386,37.630958,85.194756,37.404546,1.620300,,
1991,190.788397,23.433971,39.561028,89.095439,37.954269,0.743690,,
1992,195.908275,25.210884,41.050809,89.805171,38.713739,1.127672,,
1993,199.940852,25.282487,41.759657,93.037508,39.121524,0.739676,,
1994,208.446676,26.500866,43.059137,97.489249,40.645097,0.752327,,
1995,224.468859,27.714291,46.481111,107.777176,41.618758,0.877522,,
1996,241.289778,29.739235,52.069842,116.357604,42.189813,0.933284,,
1997,256.595712,32.919022,54.950964,123.296422,43.087000,2.342305,,
1998,263.393612,33.716402,55.850914,129.553445,42.938113,1.334737,,
1999,272.599838,40.173879,59.678318,126.851458,44.817977,1.078206,,
2000,278.526706,41.739480,63.296322,127.816991,44.512752,1.161160,,
2001,286.284047,45.550032,62.746333,130.269825,46.517226,1.200632,,
2002,284.914432,40.111110,63.602146,133.098797,46.959462,1.142918,,
2003,278.874140,40.993172,61.286412,130.559503,45.258738,0.776315,,
2004,294.418379,46.527084,62.413364,138.922643,45.719053,0.836234,,
2005,299.731795,48.619845,65.396018,139.226438,45.338147,1.151347,,
2006,306.006932,48.770540,66.689949,143.885490,45.563915,1.097038,,
2007,319.250203,48.994156,72.573173,149.866007,46.621211,1.195657,,
2008,338.166541,58.510638,74.008880,155.460625,48.303512,1.882885,,
2009,320.888201,48.658825,69.881710,154.051050,47.113648,1.182968,,
2010,359.008150,59.346175,77.521847,173.675972,47.313952,1.150204,,
2011,372.953497,53.288466,82.477442,189.907009,46.357410,0.923170,,
2012,404.976027,68.410182,81.359250,207.078927,46.910773,1.216896,,
2013,435.601934,91.678037,81.872388,214.550598,46.435490,1.065422,,
2014,460.252009,109.239687,82.351367,219.659556,47.762505,1.238894,,
2015,436.315289,103.936132,77.781952,205.837978,48.040552,0.718676,,
2016,403.234986,78.924793,71.952025,204.238731,47.419523,0.699915,,
2017,411.772138,83.934041,72.011854,205.490204,49.434559,0.901479,,
2018,389.685704,73.583917,68.195289,196.990406,49.800536,1.115556,,
2019,388.822964,73.086410,67.016360,197.670181,49.900961,1.149052,,
2020,369.461924,68.133782,62.696775,187.220060,50.727960,0.683347,,
2021,414.862861,88.678309,69.429508,204.980570,50.851236,0.923239,,
2022,395.626028,56.565201,69.115470,217.378281,51.455859,1.111218,,
