"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,14.309343,0.548289,0.042909,11.102165,1.095843,1.520137
1991,14.565398,0.550958,0.037118,11.470737,1.163366,1.343219
1992,15.030821,0.535320,0.035333,11.655699,1.224437,1.580032
1993,15.265789,0.498478,0.038834,11.745505,1.314506,1.668468
1994,15.544107,0.491890,0.040413,11.946967,1.391844,1.672993
1995,17.155638,0.468319,0.037696,12.179650,1.473739,2.996234
1996,15.444966,0.455759,0.033751,11.344302,1.548250,2.062904
1997,15.285908,0.469617,0.035826,11.514768,1.605386,1.660311
1998,15.889685,0.477345,0.033931,11.679447,1.668612,2.030350
1999,16.159240,0.488778,0.038029,11.857435,1.751121,2.023877
2000,16.692072,0.502172,0.041036,12.208447,1.828772,2.111645
2001,17.272939,0.530704,0.038679,12.724102,1.928694,2.050761
2002,17.889069,0.556748,0.039621,12.933541,2.006506,2.352653
2003,20.044188,0.545770,0.044367,13.583754,2.091415,3.778882
2004,21.050133,0.587105,0.052004,14.226524,2.141538,4.042963
2005,20.051670,0.668688,0.051100,14.352944,2.226748,2.752191
2006,19.346726,0.639204,0.052749,14.297535,2.316966,2.040272
2007,18.203551,0.624471,0.054388,13.526151,2.309984,1.688557
2008,18.624427,0.629979,0.052352,13.785475,2.341493,1.815128
2009,18.282340,0.677084,0.036029,14.037655,2.425546,1.106026
2010,18.556006,0.616063,0.041903,14.406500,2.449305,1.042235
2011,18.274317,0.568739,0.044144,14.263377,2.486139,0.911919
2012,18.018558,0.585036,0.040963,14.148467,2.503219,0.740873
2013,18.458218,0.561698,0.038884,14.167357,2.683344,1.006935
2014,18.393889,0.577112,0.037831,14.238689,2.697153,0.843104
2015,18.884015,0.587301,0.037955,14.530408,2.755927,0.972423
2016,19.177795,0.567623,0.034532,14.711752,2.811781,1.052107
2017,18.969607,0.577772,0.035933,14.503759,2.921492,0.930652
2018,19.074933,0.605901,0.036840,14.438459,3.002201,0.991531
2019,19.388279,0.601016,0.037038,14.506509,3.022215,1.221502
2020,19.767245,0.609841,0.036274,14.728610,3.055800,1.336721
2021,20.536214,0.634791,0.037652,15.149218,3.136592,1.577960
2022,21.062277,0.642613,0.036189,15.753898,3.133692,1.495886
