"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
2000,28.755917,7.453585,,14.120140,7.182192,
2001,31.782889,7.410254,,17.065200,7.307436,
2002,116.367978,7.612864,,36.616213,7.552483,64.586418
2003,127.024656,6.653326,,42.859410,7.736178,69.775743
2004,132.346725,7.299949,,45.288600,7.919519,71.838657
2005,125.837754,7.849196,,39.063145,8.110507,70.814905
2006,80.571295,7.733729,,14.751170,8.309718,49.776678
2007,57.978865,6.798257,,13.976302,8.501301,28.703005
2008,134.665977,6.501118,,16.294602,8.708409,103.161847
2009,49.755640,6.115575,,16.224060,8.911923,18.504082
2010,151.528648,7.913548,,16.235970,9.065502,118.313628
2011,165.714643,6.471806,,15.561975,9.237746,134.443117
2012,133.535248,11.357598,,14.146551,9.391229,98.639870
2013,109.980100,11.657512,,13.676779,9.580419,75.065390
2014,65.353835,13.268361,,12.683929,9.769640,29.631905
2015,46.265212,15.937859,,10.216574,9.936684,10.174094
2016,38.312819,14.626654,,11.444824,10.121854,2.119487
2017,54.840777,17.213919,,9.376361,10.308682,17.941815
2018,45.705020,19.184754,,9.925610,10.494792,6.099864
2019,41.793847,16.389458,,9.619106,10.685896,5.099387
2020,41.895193,15.090870,,9.923720,10.803014,6.077589
2021,50.517917,16.004370,,9.922410,10.941810,13.649328
2022,49.239641,18.933624,,10.073097,11.068076,9.164843
