"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
2000,5.797172,3.952558,,1.619488,0.225126,
2001,7.298170,5.155970,,1.910515,0.231685,
2002,165.200920,5.321793,2.898716,3.250183,0.235833,153.494394
2003,38.169599,4.793872,3.050635,3.062538,0.241656,27.020898
2004,52.900739,4.763885,5.598354,3.255766,0.247346,39.035389
2005,27.167992,5.275830,1.469818,2.910431,0.253209,17.258704
2006,38.325052,5.434599,1.497206,1.620721,0.259136,29.513389
2007,-4.449952,5.391627,1.118937,1.447176,0.264936,-12.672629
2008,150.883470,5.733080,1.470030,1.756951,0.271199,141.652209
2009,-25.617143,5.060783,0.853062,1.855462,0.277183,-33.663633
2010,181.429081,5.359960,0.639451,1.970208,0.282208,173.177253
2011,269.292842,4.944468,1.104425,1.863271,0.289517,261.091161
2012,88.686830,6.881370,1.283329,1.688486,0.294025,78.539620
2013,93.545584,6.988678,0.950803,1.587757,0.299940,83.718406
2014,0.012044,7.730760,0.849068,1.484504,0.305908,-10.358197
2015,-39.281043,8.764302,0.979125,1.286062,0.310709,-50.621240
2016,-56.435875,8.433289,0.802698,1.316728,0.316521,-67.305111
2017,-22.657679,9.406549,0.910569,1.226676,0.322312,-34.523784
2018,-48.930656,7.846338,0.778834,1.133244,0.328122,-59.017194
2019,-51.046041,7.616005,1.018908,1.077882,0.333959,-61.092795
2020,-49.513447,6.795119,1.354354,1.042795,0.337055,-59.042770
2021,-31.570237,8.682205,1.754731,0.984430,0.341641,-43.333244
2022,-62.756255,7.804321,1.689119,0.947473,0.344323,-73.541492
