"Year","Change in living biomass","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
2000,,,,,
2001,,,,,
2002,-82.720287,,,,
2003,-88.253311,,-0.001604,-0.023608,
2004,-82.717264,,,-0.023608,
2005,-82.715753,,,-0.023608,
2006,-82.714241,,-1.413199,-0.023608,
2007,-82.712730,,,-0.023608,
2008,-82.711218,,,-0.023608,
2009,-82.709707,,,-0.023608,
2010,-82.708196,,,-0.023608,
2011,-82.706684,,,-0.023608,
2012,-82.705173,,,-0.023608,
2013,-82.703661,,,-0.023608,
2014,-82.702150,,,-0.023608,
2015,-82.700638,,,-0.023608,
2016,-82.699127,,,-0.023608,
2017,-82.697615,,,-0.023608,
2018,-82.675403,,,-0.005734,
2019,-82.653190,,,-0.005734,
2020,-82.630977,,,-0.005734,
2021,-82.608764,,,-0.005734,
2022,-82.563254,,,-0.005741,
