"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,506.668552,422.787703,33.820262,1.190637,0.219239,48.650710
1991,492.049594,413.430932,34.985755,1.131002,0.228784,42.273121
1992,516.745049,427.306097,34.644845,1.202523,0.239299,53.352285
1993,530.131231,425.707208,36.924618,1.192568,0.247204,66.059633
1994,531.297613,439.218297,37.603589,1.376940,0.269025,52.829762
1995,553.974523,451.355251,38.151316,1.500964,0.297823,62.669169
1996,561.172374,466.206506,39.810302,1.484773,0.273616,53.397178
1997,572.442264,479.475000,40.693739,1.599098,0.250812,50.423614
1998,572.404255,486.773291,40.900311,1.661819,0.279381,42.789452
1999,591.111790,500.120722,41.938552,1.544735,0.255512,47.252269
2000,619.755652,522.919452,41.835588,1.635670,0.289176,53.075766
2001,594.501415,516.658336,40.615428,1.403192,0.303623,35.520835
2002,631.083076,520.402681,42.021449,1.521962,0.310099,66.826885
2003,645.319215,535.343428,44.004502,1.576867,0.265606,64.128811
2004,637.849830,528.912333,45.617006,1.477035,0.279990,61.563466
2005,634.848483,526.224663,42.476411,1.420863,0.274203,64.452343
2006,612.816749,519.879228,44.710956,1.466822,0.258365,46.501379
2007,633.956849,544.420913,43.546359,1.744492,0.244498,44.000588
2008,613.633385,530.015936,42.216879,1.722199,0.259333,39.419039
2009,551.522703,502.527946,36.528571,1.840094,0.233278,10.392815
2010,593.416630,511.888305,40.391505,1.787520,0.240073,39.109226
2011,605.724847,517.208544,43.392769,2.004433,0.226692,42.892408
2012,589.220502,511.829896,47.452013,2.332634,0.154988,27.450971
2013,598.746601,521.470397,44.287993,2.675681,0.155677,30.156853
2014,571.561830,520.470651,41.834094,2.499545,0.133952,6.623589
2015,607.123152,518.935851,41.341854,2.565942,0.158945,44.120561
2016,581.065486,509.060805,41.951151,2.543910,0.151145,27.358475
2017,586.584796,523.334957,40.736839,2.437307,0.151189,19.924505
2018,597.881890,530.875297,41.478722,2.597015,0.139742,22.791115
2019,592.562874,535.692318,40.499671,2.678195,0.136837,13.555853
2020,548.202393,482.664882,38.383388,3.036722,0.122929,23.994472
2021,551.226951,493.548838,40.696327,3.117315,0.116183,13.748289
2022,597.564261,504.506560,40.162461,2.856542,0.132116,49.906583
2023,548.753649,500.890986,41.377099,3.090768,0.119649,3.275146
