"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,14.453321,1.399800,15.950800,93.480008
1962,15.469742,1.578100,16.110200,97.164008
1963,17.087348,1.723200,16.436400,99.756008
1964,18.029698,1.936400,17.921600,102.706008
1965,18.850545,2.172500,19.516000,103.670008
1966,18.338298,2.847200,21.126000,111.422508
1967,18.084935,2.951700,20.632800,109.950016
1968,19.770739,3.111200,20.795000,114.230500
1969,20.151980,3.282400,22.708000,121.830000
1970,19.755915,3.068200,22.506000,121.625000
1971,22.098990,3.443200,22.322000,119.819000
1972,24.219077,3.804700,24.076000,124.288000
1973,26.696434,4.147000,25.156000,144.729000
1974,23.431804,3.576000,26.436000,138.070000
1975,19.925534,3.380800,20.134000,115.511000
1976,26.840051,4.131000,23.582000,139.397000
1977,30.284858,4.336000,24.302000,145.538000
1978,32.720793,4.791000,26.572000,156.150000
1979,33.983749,4.656000,26.972000,161.994000
1980,32.779337,4.328000,26.780000,155.624000
1981,29.218411,4.237000,27.670000,144.736000
1982,27.282989,3.484000,25.348000,127.472000
1983,35.216567,4.574000,27.238000,155.983000
1984,35.651072,4.774000,28.976000,167.824000
1985,39.637993,5.363000,29.428000,168.722000
1986,39.916300,5.171000,31.050000,177.190000
1987,44.912446,6.026000,32.620000,191.685000
1988,44.230092,5.750000,33.810000,190.616000
1989,42.907872,6.443000,33.642000,188.254000
1990,39.740770,5.857000,33.464000,162.127000
1991,37.481153,5.047000,33.650000,160.168000
1992,40.137982,6.067000,33.702000,169.895000
1993,43.218773,6.747000,35.646000,176.193000
1994,45.104528,7.154000,37.228000,183.224000
1995,45.444032,7.856000,37.958000,188.432000
1996,47.025009,9.462000,37.128000,189.884000
1997,47.664584,10.840000,38.238000,191.058000
1998,47.185265,11.915028,37.750000,176.942000
1999,50.411779,14.099162,40.560000,193.890000
2000,50.464607,14.440440,41.841792,201.845000
2001,53.707600,14.671000,39.668000,185.853000
2002,58.481276,15.393000,40.146000,198.077000
2003,56.891762,15.791000,39.928000,179.642000
2004,60.951910,15.759000,40.924000,208.073000
2005,60.186632,16.701000,38.996000,203.121000
2006,58.709208,16.733000,36.378000,183.931000
2007,52.284433,17.037000,34.734000,164.599000
2008,41.547622,11.820000,31.578000,139.236000
2009,32.819530,8.427000,25.646000,116.306000
2010,38.667000,9.046000,25.510000,142.013000
2011,38.879780,9.615000,24.114000,148.178150
2012,40.564043,10.130000,21.512000,148.183000
2013,42.813453,10.651433,22.348000,152.076046
2014,43.351000,11.328000,21.550000,153.464371
2015,47.114860,11.779000,20.600000,155.996540
2016,49.723699,12.012983,19.822000,156.744000
2017,47.861400,12.379830,19.916000,156.717000
2018,47.603420,12.295828,20.284000,156.802812
2019,41.832100,12.795426,18.946000,141.690443
2020,40.397200,11.007000,17.330800,142.634060
2021,41.080100,11.934675,18.390800,145.642474
2022,37.258800,11.774613,17.988800,145.642474
2023,35.075600,11.136217,16.276800,130.918641
