"Year","Canada","World"
1950,3.971060,2.372741
1951,4.337833,2.509281
1952,4.454074,2.496828
1953,4.632798,2.519009
1954,4.806175,2.522133
1955,5.472930,2.710743
1956,6.338866,2.829705
1957,6.283450,2.864250
1958,5.954277,2.886446
1959,6.406949,2.981084
1960,6.746615,3.109071
1961,7.608279,3.068418
1962,8.740516,3.117449
1963,9.204277,3.212604
1964,9.845061,3.313059
1965,10.456793,3.389338
1966,11.074091,3.482441
1967,11.823576,3.521091
1968,12.681592,3.638560
1969,13.813986,3.800910
1970,15.818571,4.031813
1971,16.776755,4.112250
1972,18.882305,4.219880
1973,20.942155,4.358162
1974,19.877109,4.257539
1975,18.510073,4.190445
1976,17.585118,4.342568
1977,18.016683,4.387958
1978,17.744056,4.445411
1979,19.393534,4.491730
1980,18.681289,4.385349
1981,17.674482,4.204303
1982,17.870786,4.095304
1983,17.935039,4.047822
1984,20.047465,4.114002
1985,20.852190,4.177916
1986,19.888015,4.164586
1987,20.648713,4.215461
1988,22.560116,4.303169
1989,22.732648,4.285587
1990,22.471369,4.275440
1991,22.861633,4.288762
1992,23.122886,4.101485
1993,24.519825,4.079975
1994,25.696135,4.061836
1995,26.796962,4.097368
1996,27.036280,4.164388
1997,27.859240,4.131378
1998,28.095316,4.059213
1999,27.589004,4.096031
2000,27.811571,4.148800
2001,27.912718,4.125716
2002,27.636714,4.162733
2003,27.462602,4.327484
2004,27.909429,4.421495
2005,27.747928,4.515645
2006,28.151597,4.611727
2007,28.090875,4.688505
2008,27.083408,4.708763
2009,25.816136,4.572416
2010,26.098660,4.774950
2011,26.694287,4.878259
2012,27.428038,4.887112
2013,28.317878,4.868795
2014,29.553308,4.830362
2015,29.487867,4.767311
2016,29.641857,4.713752
2017,30.890835,4.735624
2018,32.118778,4.780249
2019,31.710887,4.778430
2020,30.208634,4.479880
2021,31.572187,4.676995
2022,32.451623,4.676281
2023,32.857368,4.697341
