"Year","Pulp, paper and print","Manufacturing industries and construction: Other","Light duty trucks","Residential: Stationary combustion","All other Transport","All others"
1990,33.686339,0.298426,0.013474,9.999438,0.028292,1.454954
1991,33.347695,0.314170,0.017604,10.135215,0.034652,1.471615
1992,34.405806,0.355639,0.018119,10.740876,0.034877,1.545371
1993,34.043331,0.368779,0.018748,10.877962,0.034871,1.579328
1994,41.028273,0.520335,0.019379,10.661137,0.034933,1.533872
1995,40.778072,0.496008,0.019329,10.490560,0.034196,1.669502
1996,40.513634,0.537963,0.019897,10.823456,0.033897,1.882921
1997,40.511369,0.575590,0.021933,10.722863,0.035633,2.070225
1998,40.331013,2.424443,0.061331,8.653698,0.096322,2.172428
1999,43.910570,2.456961,0.078562,8.452713,0.117312,3.488164
2000,43.960040,2.428734,0.081569,8.616982,0.120050,3.476101
2001,37.345606,7.598428,0.088618,7.466020,0.127083,1.355271
2002,39.464821,8.793321,0.090957,7.259629,0.126591,1.394623
2003,39.005379,4.847501,0.092958,6.887640,0.124019,5.358877
2004,45.699707,5.668034,0.103209,7.330723,0.132615,6.722318
2005,45.375692,5.580704,0.141535,7.578218,0.173130,6.874235
2006,42.527098,6.968206,0.168555,7.457360,0.245615,6.063266
2007,40.608050,6.703478,0.743228,8.914519,1.018532,6.481828
2008,35.658290,5.717885,0.952353,9.102374,1.264637,7.075495
2009,34.095181,5.048788,1.062319,9.379454,1.334547,7.057648
2010,35.102709,5.896417,1.200515,8.485127,1.463401,4.687785
2011,34.435330,5.492894,1.661730,9.198233,2.345816,4.874460
2012,34.337534,6.259825,1.718211,8.884095,2.366234,4.166712
2013,37.127559,6.659852,2.045510,9.955873,2.834696,4.422615
2014,36.326023,8.571501,2.180249,10.284638,2.953002,4.392878
2015,36.351794,7.455269,2.265642,10.190211,2.813856,5.167924
2016,32.895827,6.649179,2.323972,9.870883,2.845333,4.622282
2017,32.764449,8.116426,2.410119,10.143155,2.919940,5.285853
2018,34.116715,7.402260,2.459823,9.546259,2.861827,5.059286
2019,33.220293,6.747274,2.473466,8.372754,2.875960,6.037263
2020,29.800980,6.667460,2.244508,7.227726,2.758339,4.785923
2021,30.798973,8.599742,2.419697,6.520728,3.014212,4.331518
2022,30.392763,7.832809,2.966905,6.923925,3.347154,5.015620
2023,27.831056,8.495589,3.459608,6.401823,4.551224,4.473310
2024,26.275432,9.075865,3.738099,5.992671,4.816423,3.871732
