"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,41.514443,2.514009,6.575786,14.670563,17.534662,0.219423,,
1991,43.864810,2.796060,6.805412,15.159920,18.901373,0.202045,,
1992,43.901443,2.890934,6.385143,15.488393,18.943148,0.193825,,
1993,41.710870,2.558896,6.216977,14.413809,18.335634,0.185554,,
1994,40.582331,2.600241,6.158000,14.583643,17.060383,0.180064,,
1995,41.490302,2.639704,6.299626,14.276267,18.112039,0.162666,,
1996,42.362089,2.857066,6.044229,14.339636,18.969349,0.151809,,
1997,41.461898,2.859845,6.003163,14.897445,17.539681,0.161765,,
1998,43.048773,3.221599,6.202384,15.105869,18.358118,0.160802,,
1999,42.859778,3.249184,6.060496,15.710810,17.692636,0.146652,,
2000,41.874489,3.171111,6.002787,15.948990,16.600571,0.151029,,
2001,43.303045,3.311007,6.250925,15.651676,17.941147,0.148290,,
2002,41.719980,3.389640,5.803601,15.578472,16.793841,0.154426,,
2003,42.926047,3.387760,5.893318,15.739520,17.765427,0.140023,,
2004,43.260202,3.681628,6.037359,15.781712,17.630736,0.128767,,
2005,43.700099,3.816704,6.035717,15.846010,17.863061,0.138607,,
2006,43.337112,4.034012,6.200390,15.963727,16.996332,0.142651,,
2007,41.304481,3.722942,6.005654,16.288849,15.151502,0.135535,,
2008,42.701561,3.842863,6.067483,16.636648,16.024098,0.130468,,
2009,41.599492,3.680555,5.751634,16.432413,15.602405,0.132486,,
2010,42.956403,3.852165,5.854833,16.318975,16.793137,0.137294,,
2011,38.891193,3.606420,5.426872,16.139353,13.593990,0.124558,,
2012,40.312910,3.650653,5.425681,16.256655,14.847564,0.132357,,
2013,41.269566,3.753553,5.492439,16.167994,15.722271,0.133309,,
2014,37.237227,3.634463,5.091726,16.061893,12.310528,0.138618,,
2015,36.930112,3.333660,4.973119,15.328219,13.160007,0.135106,,
2016,37.344663,3.432332,4.975067,15.172109,13.625897,0.139259,,
2017,36.373038,3.360536,4.944840,14.918092,13.022122,0.127448,,
2018,35.101576,3.437117,4.785996,14.931749,11.820358,0.126357,,
2019,34.993162,3.459201,4.700502,14.893665,11.824938,0.114856,,
2020,32.581224,3.378018,4.495247,13.595094,10.993705,0.119159,,
2021,34.082388,3.336051,4.592847,13.775387,12.263563,0.114540,,
2022,31.162404,3.290273,4.219250,13.599123,9.930294,0.123464,,
2023,30.369582,3.171945,3.863184,13.616134,9.594134,0.124184,,
