"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,52.778919,44.148606,6.222670,4.155798,0.246003,-1.994158
1991,50.442014,46.130641,6.129683,4.121411,0.233358,-6.173080
1992,52.042593,46.017967,6.038475,4.086300,0.232510,-4.332658
1993,49.207853,43.609587,5.912086,4.134880,0.185616,-4.634316
1994,50.372413,42.667913,5.832677,4.061033,0.203602,-2.392812
1995,50.076363,43.413685,5.841303,4.084367,0.337830,-3.600822
1996,47.533291,44.106761,5.789939,3.984482,0.386805,-6.734696
1997,48.938643,43.046258,5.639044,3.922091,0.482522,-4.151273
1998,51.624759,44.622434,5.588677,3.839137,0.604106,-3.029594
1999,52.245867,44.446507,5.513753,3.812220,0.673581,-2.200194
2000,58.647685,43.620478,5.478481,3.885137,0.813237,4.850352
2001,54.596712,45.084873,5.527835,3.826029,0.882602,-0.724626
2002,51.440044,43.467063,5.487901,3.824602,0.980275,-2.319797
2003,52.335113,44.650801,5.414010,3.652917,1.096860,-2.479474
2004,51.558152,45.231226,5.408826,3.557822,1.212044,-3.851766
2005,53.366176,45.776243,5.463893,3.600843,1.244624,-2.719428
2006,54.862962,45.364930,5.485043,3.498671,1.355799,-0.841481
2007,52.775920,43.359386,5.468549,3.551820,1.418986,-1.022821
2008,53.183759,44.700874,5.557161,3.432234,1.488627,-1.995137
2009,51.617406,43.525838,5.444622,3.313887,1.427313,-2.094253
2010,52.567028,45.033410,5.420949,3.418267,1.431847,-2.737445
2011,48.869821,40.973220,5.359876,3.324202,1.497349,-2.284826
2012,51.569980,42.242215,5.338630,3.359020,1.603662,-0.973547
2013,52.068711,43.183092,5.272003,3.289585,1.606314,-1.282283
2014,47.214778,39.244456,5.261504,3.262188,1.629993,-2.183363
2015,48.389888,38.756427,5.229736,3.226273,1.672468,-0.495015
2016,46.090499,39.225147,5.186305,3.226518,1.604597,-3.152068
2017,47.603633,38.234439,5.127297,3.356122,1.608132,-0.722357
2018,47.545751,36.945353,5.086773,3.172886,1.576903,0.763837
2019,45.014743,36.822532,4.996364,3.237888,1.484492,-1.526534
2020,43.594601,34.344273,4.941376,3.153500,1.449514,-0.294062
2021,44.566385,35.915710,4.948871,3.052242,1.289608,-0.640047
2022,42.096854,32.965665,4.902604,2.537422,1.226609,0.464554
2023,41.462595,31.995705,4.862623,2.529283,1.191427,0.883557
2024,41.208563,31.334816,4.830702,2.654705,1.199337,1.189004
