"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-12.854852,11.225989,-0.082634,0.197925,-0.539896,0.001552
1991,-12.871769,8.736307,-0.272543,-0.805711,-0.529321,0.001557
1992,-12.889391,8.689196,-0.073092,0.140985,-0.555585,0.001563
1993,-12.905805,8.542071,-0.226118,-0.638735,-0.554419,0.001567
1994,-12.918260,8.929794,0.077545,0.882030,-0.578177,0.001569
1995,-12.930045,9.077448,-0.137414,-0.384087,-0.565422,0.001572
1996,-12.499715,9.147106,-0.866745,-2.196253,-0.538675,0.001574
1997,-12.509580,9.753331,-0.575020,-0.745846,-0.556056,0.001577
1998,-12.516556,10.538246,-0.513785,-0.741562,-0.554344,0.001579
1999,-12.523887,10.338626,-0.253889,0.257943,-0.583893,0.001578
2000,-12.530224,17.308840,-0.320984,-0.181884,-0.561973,0.001579
2001,-12.539549,11.663607,-0.268004,-0.162944,-0.567463,0.001579
2002,-12.546863,9.926762,-0.233835,0.028730,-0.553653,0.001580
2003,-12.555287,10.791157,-0.281073,-0.341189,-0.497328,0.001580
2004,-12.563096,10.868057,-0.457025,-1.223043,-0.503270,0.001580
2005,-12.570469,11.168248,-0.449231,-1.152812,-0.501265,0.001585
2006,-12.929424,12.186851,-0.172238,0.469984,-0.515557,0.001591
2007,-12.941420,12.179614,-0.281965,-0.139252,-0.507928,0.001592
2008,-12.956178,11.456824,-0.374282,-0.450036,-0.500760,0.001593
2009,-12.972754,10.802239,-0.241954,-0.001794,-0.501682,0.001598
2010,-12.988370,11.257934,-0.485784,-1.192115,-0.487723,0.001604
2011,-13.003890,11.181711,-0.218833,0.144948,-0.498754,0.001610
2012,-13.020587,10.457336,-0.082906,0.496609,-0.522732,0.001614
2013,-13.035924,10.689912,-0.267119,-0.451680,-0.503418,0.001616
2014,-13.052557,10.942093,-0.125430,0.199368,-0.513030,0.001623
2015,-13.070963,10.315424,-0.133217,0.170033,-0.498022,0.001622
2016,-13.090605,10.164557,-0.125264,-0.071960,-0.515992,0.001624
2017,-13.105566,10.575669,-0.126834,0.008347,-0.515729,0.001625
2018,-12.696188,12.246276,-0.368415,-0.161075,-0.519209,0.001630
2019,-12.710165,11.285593,-0.394825,-0.424776,-0.531967,0.001634
2020,-12.721329,11.562093,-0.420601,-0.633667,-0.528752,0.001636
2021,-12.732913,11.937133,-0.529674,-1.129935,-0.531212,0.001639
2022,-12.747024,12.318796,-0.394327,-0.586423,-0.503428,0.001642
2023,-12.757626,11.863029,0.038700,1.018685,-0.556765,0.001647
