"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,,,,2.400000,,0.025300
1962,,,,2.600000,0.000500,0.027500
1963,,,,2.850000,0.000200,0.023200
1964,,,,2.900000,0.045000,0.071300
1965,,,,3,0.045000,0.065400
1966,,,,3.125000,0.046400,0.074100
1967,,,,2.194000,0.044400,0.066100
1968,,,,2.296000,0.052700,0.056500
1969,,,,2.397000,0.038000,0.061300
1970,,,,2.498000,0.074900,0.088400
1971,,,,2.599000,0.107100,0.092000
1972,,,,2.700000,0.107100,0.075400
1973,,,,3.429000,0.107100,0.075400
1974,,,,3.290000,0.107100,0.075400
1975,,,,3.343000,0.107100,0.075400
1976,,,,3.343000,0.130700,0.036200
1977,,,,3.636000,0.202500,0.033500
1978,,,,4.139000,0.318500,0.031500
1979,,,,4.929000,0.318500,0.029500
1980,,,,5.346000,0.558000,0.027500
1981,,,,5.402000,0.556900,0.029200
1982,,,,5.890000,0.373000,0.026200
1983,,,,6.613000,0.515100,0.023200
1984,,,,7.560000,0.449000,0.129000
1985,,,,9.112000,0.808000,0.217000
1986,,,,10.004000,1.218000,0.299000
1987,,,,11.411000,1.336000,0.300000
1988,,,,12.645000,0.862000,0.221000
1989,,,,13.333000,0.844400,0.237900
1990,,,,13.989000,0.969100,0.339700
1991,,,,14.779000,1.344400,0.296600
1992,,,,16.196000,2.330925,0.178715
1993,,,,17.871000,2.373033,0.180378
1994,,,,21.290000,2.023329,0.240994
1995,,,,23.994000,1.683100,0.276600
1996,,,,26.380000,4.318700,0.188900
1997,,,,27.230000,5.508300,0.214800
1998,,,,27.800000,5.791999,0.245561
1999,,,,29.098000,6.462000,0.310000
2000,,,,30.500000,5.939201,0.636901
2001,,,,32.140000,5.492300,0.659100
2002,,,,37.800000,6.086000,0.708000
2003,,,,43,6.336374,1.091090
2004,,,,49.500000,6.142444,1.179205
2005,56,5.387000,1.838000,56,5.387000,1.838000
2006,,,,65,4.307000,2.966000
2007,,,,73.500000,3.793200,4.054462
2008,,,,79.800000,3.365000,3.428100
2009,,,,86.400000,3.180924,3.423886
2010,,,,92.700000,3.173962,3.544261
2011,,,,99.300000,3.136180,4.201821
2012,,,,102.500000,2.984183,4.381324
2013,,,,101.100000,2.716988,5.289727
2014,,,,104.700000,2.689821,5.932393
2015,,,,107.100000,2.747254,5.551087
2016,,,,108.550000,2.846078,6.409376
2017,,,,111.300000,4.587241,6.015747
2018,,,,104.350000,6.142014,5.174978
2019,,,,107.650000,6.159841,5.765004
2020,113.100000,12.252000,4.690000,113.100000,12.334343,4.687281
2021,121.100000,11.702000,4.398000,121.100000,11.701744,4.398024
2022,,,,124.320000,8.822787,7.151393
2023,,,,129.650000,11.670830,7.561689
