"Year","Coal","Oil","Gas","Cement"
1950,0.104361,0.446888,0,0
1951,0.182633,0.278298,0,0
1952,0.176067,0.339366,0,0
1953,0.057650,0.370580,0,0
1954,0.065544,0.438989,0,0
1955,0.029489,0.473486,0,0
1956,0.038620,0.543773,0,0
1957,0.001545,0.594863,0,0
1958,0,0.498304,0,0
1959,0,0.545936,0,0
1960,0,0.461664,0,0
1961,0,0.553264,0,0
1962,0,0.586240,0,0
1963,0,0.622880,0,0
1964,0,0.762112,0,0
1965,0,1.172480,0,0
1966,0,1.238432,0,0
1967,0,1.359344,0,0
1968,0,1.597504,0,0
1969,0,1.890624,0,0
1970,0,2.242368,0,0
1971,0,2.454880,0,0
1972,0,2.711360,0,0
1973,0,2.876240,0,0
1974,0,3.242640,0,0
1975,0,3.986432,0,0
1976,0,3.960784,0,0
1977,0,4.052384,0,0
1978,0,4.814496,0,0
1979,0,5.419056,0,0
1980,0,5.569280,0,0
1981,0,3.865520,0,0
1982,0,5.554624,0,0
1983,0,4.517712,0,0
1984,0,5.133264,0,0
1985,0,6.983584,0,0
1986,0,5.576608,0,0
1987,0,7.349984,0,0
1988,0,8.804592,0,0
1989,0,8.265984,0,0
1990,0,4.781520,0,0
1991,0,4.308864,0,0
1992,0,3.843536,0,0
1993,0,5.092960,0,0
1994,0,4.132992,0,0
1995,0,6.020258,0.095211,0
1996,0,6.477952,0.857376,0
1997,0,5.608659,1.403998,0
1998,0,4.946400,1.637808,0
1999,0,3.548328,2.391185,0
2000,0,4.045056,2.418240,0
2001,0,4.774192,2.623424,0
2002,0,4.283216,2.674720,0
2003,0,2.782859,2.350214,0
2004,0,4.349168,2.986160,0
2005,0,4.162304,3.334240,0
2006,0,3.678656,3.132720,0
2007,0,3.649344,2.887232,0
2008,0,3.554080,3.037456,0
2009,0,2.729680,2.784640,0
2010,0,3.026464,3.037456,0
2011,0,3.348896,2.993488,0
2012,0,5.074640,3.264624,0
2013,0,5.778128,3.748272,0
2014,0,5.957664,3.781248,0
2015,0,5.547296,3.858192,0
2016,0,7.025837,4.775517,0
2017,0,7.547840,4.312528,0
2018,0,6.324064,3.993760,0
2019,0,6.184832,4.257568,0
2020,0,6.560372,4.366255,0
2021,0,9.085191,4.555422,0
2022,0,9.233446,4.362339,0
2023,0,8.900595,4.227808,0
