"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,1.126096,,
1991,1.116662,,
1992,1.067891,,
1993,1.029114,,
1994,1.019379,,
1995,1.160286,,
1996,1.161992,,
1997,1.276369,,
1998,1.121681,,
1999,1.305919,,
2000,1.175456,,
2001,1.144811,,
2002,1.298484,,
2003,0.974263,,
2004,1.098651,,
2005,1.175053,,
2006,1.225746,,
2007,1.235967,,
2008,1.496876,,
2009,1.485804,,
2010,1.424590,,
2011,1.517383,,
2012,2.254291,,
2013,2.446978,,
2014,2.581325,,
2015,3.012202,,
2016,3.631349,,
2017,3.387429,,
2018,3.757283,,
2019,4.010249,,
2020,3.936931,,
2021,6.416398,,
2022,7.019096,,
