"Year","Colombia","World"
1950,0.616991,2.372741
1951,0.675470,2.509281
1952,0.695108,2.496828
1953,0.842884,2.519009
1954,0.732746,2.522133
1955,0.883921,2.710743
1956,0.905676,2.829705
1957,0.952643,2.864250
1958,0.946891,2.886446
1959,1.057570,2.981084
1960,1.044799,3.109071
1961,1.124449,3.068418
1962,1.163451,3.117449
1963,1.233678,3.212604
1964,1.222280,3.313059
1965,1.250764,3.389338
1966,1.247870,3.482441
1967,1.276204,3.521091
1968,1.337162,3.638560
1969,1.373868,3.800910
1970,1.357078,4.031813
1971,1.414662,4.112250
1972,1.435067,4.219880
1973,1.501620,4.358162
1974,1.589424,4.257539
1975,1.530057,4.190445
1976,1.588246,4.342568
1977,1.605347,4.387958
1978,1.661130,4.445411
1979,1.730573,4.491730
1980,1.687573,4.385349
1981,1.652369,4.204303
1982,1.666812,4.095304
1983,1.754835,4.047822
1984,1.697566,4.114002
1985,1.639469,4.177916
1986,1.627307,4.164586
1987,1.637876,4.215461
1988,1.667950,4.303169
1989,1.662816,4.285587
1990,1.745255,4.275440
1991,1.702723,4.288762
1992,1.811916,4.101485
1993,1.829793,4.079975
1994,1.899320,4.061836
1995,1.651948,4.097368
1996,1.635503,4.164388
1997,1.749874,4.131378
1998,1.734084,4.059213
1999,1.437754,4.096031
2000,1.443100,4.148800
2001,1.426988,4.125716
2002,1.381845,4.162733
2003,1.397499,4.327484
2004,1.312102,4.421495
2005,1.424923,4.515645
2006,1.456631,4.611727
2007,1.396820,4.688505
2008,1.528324,4.708763
2009,1.635166,4.572416
2010,1.701765,4.774950
2011,1.682322,4.878259
2012,1.752971,4.887112
2013,1.905463,4.868795
2014,2.015467,4.830362
2015,2.081160,4.767311
2016,1.978082,4.713752
2017,1.791261,4.735624
2018,1.760072,4.780249
2019,1.882901,4.778430
2020,1.761837,4.479880
2021,1.830931,4.676995
2022,1.894831,4.676281
2023,2.020511,4.697341
