"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,,,,,,,-0.357908,
1991,,,,,,,-0.403618,
1992,,,,,,,-0.316303,
1993,,,,,,,-0.321930,
1994,,,,,,,-0.480667,
1995,,,,,,,-0.311920,
1996,,,,,,,-0.295975,
1997,,,,,,,-0.403588,
1998,,,,,,,-0.447430,
1999,,,,,,,-0.267735,
2000,,,,,,,-0.353038,
2001,,,,,,,-0.498693,
2002,,,,,,,-0.340807,
2003,,,,,,,-0.329847,
2004,,,,,,,-0.404680,
2005,,,,,,,-0.541028,
2006,,,,,,,-0.619534,
2007,,,,,,,-0.775834,
2008,,,,,,,-0.677557,
2009,,,,,,,-0.527722,
2010,,,,,,,-0.549042,
2011,,,,,,,-0.413177,
2012,,,,,,,-0.528319,
2013,,,,,,,-0.449751,
2014,,,,,,,-0.483338,
2015,,,,,,,-0.430594,
2016,,,,,,,-0.433725,
2017,,,,,,,-0.449968,
2018,,,,,,,-0.463978,
2019,,,,,,,-0.332106,
2020,,,,,,,0.067042,
2021,,,,,,,-0.330691,
