"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,1.288425,1.044279,0.093278,0.073290,0.041550,0.036027
1991,1.193733,1.007347,0.089611,0.066514,0.043096,-0.012834
1992,1.139554,0.958918,0.089591,0.064875,0.043691,-0.017520
1993,1.122595,0.949663,0.090855,0.063989,0.043411,-0.025323
1994,1.112283,0.926923,0.096379,0.064012,0.042332,-0.017363
1995,1.116101,0.922711,0.094809,0.064106,0.041065,-0.006590
1996,1.132835,0.943139,0.092920,0.064698,0.039270,-0.007192
1997,1.095821,0.911248,0.093512,0.063508,0.035964,-0.008412
1998,1.064364,0.901290,0.081046,0.063401,0.033433,-0.014807
1999,1.034922,0.876372,0.073446,0.063906,0.031447,-0.010250
2000,1.047035,0.872680,0.076696,0.063398,0.029572,0.004688
2001,1.053965,0.892300,0.073091,0.063872,0.027569,-0.002867
2002,1.062457,0.875932,0.071541,0.061836,0.025848,0.027301
2003,1.064036,0.866677,0.074162,0.061812,0.024062,0.037322
2004,1.028576,0.845537,0.075931,0.060349,0.021489,0.025270
2005,1.011061,0.836715,0.072795,0.060403,0.019831,0.021317
2006,1.015196,0.852958,0.073089,0.059462,0.017758,0.011929
2007,0.966658,0.810644,0.076235,0.059870,0.016237,0.003672
2008,0.968175,0.823884,0.072078,0.060234,0.014839,-0.002860
2009,0.902534,0.764182,0.064112,0.060522,0.013445,0.000272
2010,0.935555,0.795990,0.061883,0.060185,0.012192,0.005305
2011,0.905519,0.771880,0.063316,0.060230,0.011309,-0.001216
2012,0.919072,0.785198,0.060502,0.060814,0.010483,0.002075
2013,0.933526,0.802198,0.060366,0.061735,0.009688,-0.000460
2014,0.903696,0.761050,0.060652,0.062785,0.009062,0.010147
2015,0.907557,0.770712,0.059861,0.062809,0.008443,0.005731
2016,0.906164,0.765339,0.061578,0.062466,0.007904,0.008877
2017,0.886219,0.747787,0.065488,0.061431,0.007526,0.003987
2018,0.936055,0.722690,0.062536,0.060502,0.007131,0.083197
2019,0.870169,0.672630,0.059442,0.059370,0.006606,0.072121
2020,0.809649,0.613276,0.055346,0.058250,0.006121,0.076656
2021,0.824514,0.641743,0.057251,0.056517,0.005915,0.063087
2022,0.824396,0.635655,0.051834,0.055654,0.005650,0.075603
2023,0.740673,0.564584,0.047154,0.054792,0.005490,0.068653
