"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,112.755318,4.981820,32.333230
1991,114.147056,5.533720,34.195221
1992,116.219698,6.065760,37.560607
1993,118.199548,6.768522,39.581343
1994,113.217769,7.369558,40.406308
1995,115.799002,8.154647,41.015156
1996,115.817410,8.662518,40.429851
1997,115.117553,9.123201,41.499956
1998,114.859091,9.538246,44.742302
1999,116.445113,10.168755,47.938421
2000,113.152177,10.447195,47.165729
2001,112.626685,10.677036,43.960415
2002,112.649588,10.607495,42.255482
2003,109.307562,10.264870,39.058298
2004,110.352886,9.998012,38.258214
2005,105.711258,9.898457,36.409422
2006,103.259230,9.714449,40.339832
2007,97.403378,9.108422,37.304593
2008,96.481576,9.157759,37.595717
2009,96.652402,9.144659,37.686822
2010,94.594590,9.009601,40.418424
2011,96.377916,9.179315,40.190002
2012,92.875848,8.943657,42.624803
2013,95.674837,9.306468,43.541934
2014,98.305709,10.007115,41.807288
2015,99.229412,10.588235,43.502938
2016,101.303678,11.203216,43.549656
2017,102.386498,11.686263,45.501702
2018,99.034114,11.689908,44.346980
2019,99.112963,12.005926,44.722302
2020,85.456864,11.407886,42.594090
2021,86.912556,12.216920,41.718406
2022,89.250550,12.470633,40.280847
2023,88.757857,12.191971,37.600500
2024,89.323546,12.384088,36.508718
