"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,30.616859,1.047117,3.426503,25.049610,0.839752,0.253878
1991,29.760673,1.173920,3.144988,24.379411,0.811623,0.250730
1992,28.720099,1.142125,2.784789,23.748101,0.796507,0.248576
1993,27.902306,1.170630,2.627777,23.094170,0.763318,0.246411
1994,27.555013,1.210240,2.664623,22.634889,0.801018,0.244244
1995,27.502260,1.259977,2.983515,22.223790,0.792249,0.242730
1996,26.121708,1.403250,2.756777,21.014658,0.710837,0.236186
1997,26.189142,1.332821,2.800194,21.083388,0.743117,0.229621
1998,26.284565,1.300498,2.667361,21.342623,0.751009,0.223074
1999,25.885834,1.283232,3.137917,20.538787,0.709523,0.216375
2000,25.791997,1.251466,3.305126,20.286597,0.739104,0.209705
2001,24.956025,1.273082,2.922086,19.851604,0.706228,0.203024
2002,24.515783,1.259325,2.565549,19.706252,0.788349,0.196309
2003,24.100207,1.310009,2.958056,18.934756,0.707857,0.189529
2004,23.068962,1.260010,1.786943,19.203632,0.634168,0.184209
2005,21.123185,1.223302,0.063956,18.974327,0.685627,0.175972
2006,20.806352,1.310813,0.065977,18.535323,0.722394,0.171846
2007,21.311094,1.296357,0.075307,19.014253,0.756526,0.168652
2008,21.307596,1.274016,0.060213,19.079079,0.728687,0.165601
2009,20.859869,1.226505,0.075364,18.710420,0.684941,0.162640
2010,20.321790,1.286125,0.063409,18.186875,0.623343,0.162039
2011,20.388073,1.232673,0.069300,18.272314,0.652249,0.161536
2012,20.031878,1.179324,0.053689,18.047564,0.589627,0.161674
2013,19.942052,1.196443,0.062259,17.894021,0.628387,0.160941
2014,20.384576,1.219417,0.061345,18.285081,0.656021,0.162712
2015,20.536776,1.363358,0.066481,18.254967,0.688742,0.163228
2016,21.093110,1.559205,0.063647,18.636215,0.669146,0.164896
2017,21.307937,1.666600,0.064597,18.727823,0.688377,0.160539
2018,20.495628,1.782339,0.068081,17.816111,0.668660,0.160437
2019,20.828737,1.774790,0.064358,18.181483,0.651555,0.156551
2020,21.138045,1.770568,0.216132,18.318135,0.674987,0.158223
2021,19.944473,1.894868,0.201798,17.021385,0.664642,0.161779
2022,19.580839,1.764835,0.181509,16.817697,0.651687,0.165111
2023,18.502654,1.767258,0.221264,15.676587,0.665654,0.171892
2024,18.778910,1.572712,0.192536,16.171632,0.671690,0.170340
