"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,77.256033,52.568832,1.970424,14.496050,1.781030,6.439697
1991,87.248438,63.241845,2.130625,14.378283,1.759599,5.738087
1992,82.182391,57.429155,2.214055,14.233032,1.655118,6.651031
1993,83.279079,59.796491,2.303436,14.238289,1.613619,5.327243
1994,86.720897,63.862609,2.437273,14.058868,1.511181,4.850967
1995,84.046107,60.823479,2.670608,14.123344,1.379533,5.049142
1996,96.431204,74.250523,2.808537,13.731295,1.297646,4.343203
1997,87.386774,64.763327,2.839590,13.751106,1.207546,4.825205
1998,83.399979,60.737001,3.038074,13.761723,1.117208,4.745973
1999,81.043492,58.233139,3.284680,13.338747,1.124024,5.062902
2000,76.609784,53.807961,3.428723,13.342818,1.115995,4.914287
2001,77.686556,55.485909,3.298642,13.400459,1.096221,4.405326
2002,78.268944,55.073052,3.221932,13.452380,1.045521,5.476059
2003,83.068445,60.265565,3.239538,13.272589,1.056145,5.234607
2004,76.946248,54.675585,3.111446,13.237471,0.883860,5.037885
2005,72.456024,51.004312,2.649145,13.077199,0.881242,4.844127
2006,80.596816,58.911328,2.697038,12.754661,0.960374,5.273415
2007,76.074566,54.025939,2.743326,12.946438,0.930959,5.427904
2008,70.965154,50.781720,2.432402,12.934782,0.898819,3.917431
2009,67.614158,48.745068,2.017724,12.797559,0.864869,3.188937
2010,66.782941,49.253288,1.799078,12.765127,0.785397,2.180051
2011,60.875544,43.948572,1.933575,12.744059,0.800506,1.448832
2012,55.749010,39.406482,1.971594,12.776276,0.776347,0.818312
2013,57.117233,41.203494,1.931217,12.786267,0.763364,0.432891
2014,53.296694,36.933309,1.910365,12.914792,0.800781,0.737446
2015,49.678853,34.540111,1.743049,12.784551,0.814570,-0.203428
2016,52.639458,36.181626,1.938672,12.975591,0.834694,0.708875
2017,50.140586,33.818856,1.941216,12.975164,0.853930,0.551419
2018,51.840717,33.810346,1.960037,12.842178,0.868809,2.359347
2019,46.857868,30.220433,1.749747,12.664350,0.881311,1.342026
2020,44.011251,27.303450,1.847845,12.821329,0.941227,1.097399
2021,43.953865,28.583574,1.791350,12.526780,0.990703,0.061458
2022,41.531792,27.433768,1.606315,12.194734,0.997643,-0.700667
2023,38.046852,25.019343,1.500459,11.236197,1.034994,-0.744141
2024,36.344420,22.718059,1.368547,11.352508,1.021184,-0.115879
