"YYYYMM","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
200801,1.481911,1.933808,1.270042,
200802,1.404715,1.934636,1.082195,
200803,1.261569,1.981873,1.127243,
200804,1.158329,2.151894,0.856589,
200805,1.314770,1.856902,0.592333,
200806,0.916997,1.723329,0.380782,
200807,0.893367,1.793844,0.504755,
200808,0.815329,1.827086,0.560711,
200809,1.421129,1.991477,0.580534,
200810,1.685795,2.167031,0.773940,
200811,1.882871,1.989297,0.968972,
200812,1.896940,1.965545,1.128187,
200901,1.896210,2.019224,1.211742,
200902,1.706871,1.753995,1.109524,
200903,1.621001,2.133073,0.933182,
200904,1.163442,1.843156,0.668928,
200905,0.912113,1.632568,0.600921,
200906,1.053166,1.884155,0.560645,
200907,1.013988,1.740376,0.449148,
200908,0.866217,1.779397,0.482686,
200909,1.244714,1.825684,0.484914,
200910,1.345883,1.939156,0.831275,
200911,1.368169,1.778460,0.870876,
200912,1.592703,1.966275,1.207958,
201001,1.740476,1.770240,1.450321,
201002,1.775691,1.695631,1.272523,
201003,1.644221,1.946911,1.165378,
201004,1.235722,1.691962,0.836219,
201005,0.965737,1.714228,0.726275,
201006,0.787313,1.713567,0.524062,
201007,0.792008,1.576211,0.372649,
201008,0.949304,1.882634,0.316407,
201009,1.034656,1.970670,0.601868,
201010,1.351754,1.875282,0.752193,
201011,1.403244,1.636530,1.055019,
201012,1.670881,2.471925,1.481941,
201101,1.728329,1.756380,1.315183,
201102,1.479777,1.614654,1.235822,
201103,1.470461,1.906939,1.128830,
201104,1.165357,1.740912,0.679493,
201105,0.961894,1.816825,0.565379,
201106,0.847115,1.472376,0.458975,
201107,0.722839,1.494127,0.381382,
201108,0.809851,1.658069,0.434235,
201109,0.572289,1.876496,0.504921,
201110,0.900683,1.855771,0.716764,
201111,1.150728,1.832460,0.848015,
201112,1.105639,1.890109,0.702734,
201201,1.324371,1.588076,0.723068,
201202,1.362154,1.682343,0.274346,
201203,0.799979,1.715278,0.921587,
201204,0.823209,1.572979,0.828514,
201205,0.609490,1.655850,0.733142,
201206,0.490161,1.655336,0.495586,
201207,0.326079,1.549004,0.622549,
201208,0.479400,1.774191,0.689945,
201209,0.641398,1.708650,0.442973,
201210,0.894609,1.745972,0.703906,
201211,0.956477,1.654291,0.814170,
201212,1.370832,1.650439,1.154215,
201301,1.451836,1.725672,1.132432,
201302,1.503618,1.487305,1.045783,
201303,1.415355,1.610918,1.069955,
201304,1.099465,1.751516,0.703539,
201305,0.846289,1.678250,0.458494,
201306,0.759528,1.516107,0.356635,
201307,0.876484,1.613888,0.301736,
201308,0.876484,1.758429,0.341322,
201309,0.785899,1.618069,0.433707,
201310,0.854898,1.723640,0.551442,
201311,1.163819,1.590036,0.726328,
201312,1.121190,1.500462,0.808010,
201401,1.206041,1.529461,0.978298,
201402,0.980627,1.385058,0.764899,
201403,0.805305,1.610913,0.697890,
201404,0.663358,1.591576,0.578241,
201405,0.629205,1.538765,0.465804,
201406,0.581390,1.520107,0.346102,
201407,0.650475,1.600716,0.281777,
201408,0.757490,1.628267,0.341891,
201409,1.177219,1.672653,0.381581,
201410,0.822021,1.663470,0.488912,
201411,0.828074,1.790941,0.644724,
201412,1.042103,1.552779,0.839699,
201501,1.136982,1.566204,0.866597,
201502,1.024975,1.400369,0.840255,
201503,0.817263,1.619443,0.743809,
201504,0.467050,1.604643,0.565715,
201505,0.256923,1.576667,0.469164,
201506,0.540414,1.738695,0.396803,
201507,0.276245,1.644198,0.300987,
201508,0.295567,1.802560,0.348895,
201509,0.355949,1.673302,0.409817,
201510,0.530753,1.698584,0.590902,
201511,0.732729,1.541165,0.676434,
201512,0.807602,1.605290,0.695324,
201601,0.942992,1.472496,1.018057,
201602,0.977520,1.479316,0.774085,
201603,1.016982,1.609397,0.748426,
201604,0.679092,1.626073,0.592210,
201605,0.333803,1.679338,0.376053,
201606,0.380664,1.751362,0.344768,
201607,0.558241,1.625933,0.292451,
201608,0.597703,1.802178,0.323578,
201609,0.582905,1.735922,0.317584,
201610,0.716933,1.677830,0.583009,
201611,0.896977,1.690422,0.851010,
201612,0.729265,1.601166,0.787756,
201701,0.847282,1.669279,0.935740,
201702,0.830130,1.413404,0.819636,
201703,0.834608,1.705527,0.748833,
201704,0.485394,1.542481,0.576694,
201705,0.389113,1.712902,0.408902,
201706,0.187014,1.717643,0.331918,
201707,0.217843,1.633640,0.289551,
201708,0.356268,1.626982,0.331552,
201709,0.462805,1.701289,0.397537,
201710,0.464941,1.798983,0.464885,
201711,0.565114,1.749460,0.649959,
201712,0.612313,1.646550,0.720553,
201801,0.667546,1.562696,0.864668,
201802,0.831552,1.533013,0.876625,
201803,1.081677,1.726492,0.891939,
201804,0.599543,1.696368,0.482603,
201805,0.337631,1.751046,0.328099,
201806,0.149744,1.492611,0.271562,
201807,0.309207,1.667303,0.261388,
201808,0.330821,1.700991,0.282838,
201809,0.338191,1.611688,0.360405,
201810,0.468755,1.893309,0.480610,
201811,0.512959,1.758411,0.666162,
201812,0.733966,1.574069,0.716457,
201901,0.760994,1.503166,0.818625,
201902,0.590443,1.368933,0.634561,
201903,0.483371,1.556321,0.617220,
201904,0.343323,1.734606,0.452795,
201905,0.190343,1.920825,0.424016,
201906,0.068173,1.774664,0.302055,
201907,0.043445,1.596311,0.294064,
201908,0.064535,1.751278,0.331409,
201909,0.091171,1.589058,0.356950,
201910,0.177862,1.738623,0.521793,
201911,0.340135,1.624620,0.636807,
201912,0.434585,1.527428,0.633360,
202001,0.434135,1.621673,0.556677,
202002,0.460783,1.610344,0.549160,
202003,0.407261,1.508732,0.533367,
202004,0.152496,1.431026,0.389947,
202005,0.243281,1.465230,0.324483,
202006,0.168387,1.474536,0.277229,
202007,0.187340,1.503952,0.222184,
202008,0.177911,1.658202,0.219172,
202009,0.133443,1.668763,0.281060,
202010,0.169523,1.635730,0.383094,
202011,0.246662,1.491171,0.476233,
202012,0.385135,1.509435,0.586202,
202101,0.586609,1.246353,0.772296,
202102,0.482558,1.250782,0.661902,
202103,0.427787,1.537605,0.529423,
202104,0.282745,1.467255,0.413856,
202105,0.112935,1.619284,0.326949,
202106,0.258953,1.841031,0.214511,
202107,0.317034,1.506465,0.165571,
202108,0.204649,1.673574,0.207577,
202109,0.356315,1.597234,0.235019,
202110,0.226089,1.813851,0.306913,
202111,0.334679,1.609957,0.409397,
202112,0.617147,1.663494,0.564426,
202201,0.473140,1.565523,0.490775,
202202,0.351042,1.433259,0.440531,
202203,0.640516,1.863539,0.437711,
202204,0.267824,1.679939,0.314009,
202205,0.203098,1.628758,0.222916,
202206,0.241604,1.570854,0.187318,
202207,0.208931,1.554543,0.143387,
202208,0.201097,1.819368,0.127902,
202209,0.312402,1.730875,0.143485,
202210,0.243017,1.648458,0.194579,
202211,0.367308,1.646498,0.299797,
202212,0.623069,1.727142,0.465155,
202301,0.449322,1.547466,0.452763,
202302,0.399511,1.509074,0.431173,
202303,0.356697,1.685410,0.415737,
202304,0.180071,1.649734,0.244579,
202305,0.071917,1.764697,0.171576,
202306,0.086784,1.695608,0.152216,
202307,0.092148,2.367389,0.139111,
202308,0.179440,1.982734,0.171116,
202309,0.121463,1.704379,0.159501,
202310,0.096064,1.996206,0.269593,
202311,0.282752,1.630624,0.433600,
202312,0.316406,1.606091,0.485227,
202401,0.363093,1.701962,0.628892,
202402,0.195636,1.542742,0.407495,
202403,0.194610,1.723566,0.383063,
202404,0.087697,1.790364,0.326421,
202405,0.028862,2.000628,0.167122,
202406,0.097873,1.732152,0.159768,
202407,0.158999,2.059018,0.082134,
202408,0.143719,1.943914,0.121120,
202409,0.098437,1.794966,0.146407,
202410,0.133953,1.817661,0.274515,
202411,0.215646,1.693170,0.421031,
202412,0.084357,1.677030,0.438128,
202501,0.076927,1.546343,0.565455,
202502,0.144713,1.654074,0.489763,
202503,0.099200,2.059027,0.310683,
202504,0.081350,1.934300,0.226137,
202505,0.022485,1.617369,0.187118,
202506,0.038865,1.623995,0.158735,
202507,0.051958,,0.131931,
202508,0.009544,,,
202509,,,,
202510,,,,
202511,,,,
202512,,,,
