"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-7.999055,-0.661740,0,0,0,0,0,0
1991,-8.554774,-0.661740,0,0,0,0,0,0
1992,-8.283558,-0.684523,0,0,0,0,0,0
1993,-6.551759,-0.677445,0,0,0,0,0,0
1994,2.393578,-0.675748,0,0,0,0,0,0
1995,-7.542601,-0.656696,0,0,0,0,0,0
1996,-8.676489,-0.675773,0,0,0,0,0,0
1997,-8.244299,-0.663499,0,0,0,0,0,0
1998,-7.571221,-0.669607,0,0,0,0,0,0
1999,-7.657788,-0.677592,0,0,0,0,0,0
2000,-6.842605,-0.693616,0,0,0,0,0,0
2001,-8.677257,-0.759537,0,0,0,0,0,0
2002,-8.831971,-0.864705,0,0,0,0,0,0
2003,-8.718851,-0.974814,0,0,0,0,0,0
2004,-7.874547,-1.061033,0,0,0,0,0,0
2005,-7.976687,-1.130478,0,0,0,0,0,0
2006,-8.588834,-1.211831,0,0,0,0,0,0
2007,-7.351825,-1.234287,0,0,0,0,0,0
2008,-8.298884,-1.226773,0,0,0,0,0,0
2009,-8.674398,-1.224779,0,0,0,0,0,0
2010,-8.944966,-1.233244,0,0,0,0,0,0
2011,-9.490862,-1.252511,0,0,0,0,0,0
2012,-6.840034,-1.263719,0,0,0,0,0,0
2013,-10.313388,-1.288610,0,0,0,0,0,0
2014,-9.614043,-1.337343,0,0,0,0,0,0
2015,-10.964590,-1.384433,0,0,0,0,0,0
2016,-10.509236,-1.405206,0,0,0,0,0,0
2017,-9.157693,-1.399394,0,0,0,0,0,0
2018,-9.989888,-1.349028,0,0,0,0,0,0
2019,-10.335638,-1.351322,0,0,0,0,0,0
2020,-9.777295,-1.372346,0,0,0,0,0,0
2021,-8.960272,-1.367498,0,0,0,0,0,0
2022,-10.067816,-1.378681,0,0,0,0,0,0
