"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,0.058000,0.160000,0,0.058000,0.160000,
1962,0.058000,0.165000,0,0.058000,0.165000,
1963,0.016500,0.095000,0,0.016500,0.095000,
1964,0.016500,0.122000,0,0.016500,0.122000,
1965,0.016500,0.150500,0,0.016500,0.150500,
1966,0.025000,0.147600,0,0.025000,0.147600,
1967,0.025000,0.177600,0,0.025000,0.177600,
1968,0.023000,0.198700,0,0.023000,0.198700,
1969,0.023700,0.277300,0,0.023700,0.277300,
1970,0.022800,0.485900,0,0.022800,0.485900,
1971,0.022800,0.454300,0,0.022800,0.454300,
1972,0.022800,0.254000,0,0.022800,0.254000,
1973,0.017800,0.232700,0,0.017800,0.232700,
1974,0.017800,0.606700,0,0.017800,0.606700,
1975,0.012800,0.442100,0,0.012800,0.442100,
1976,0.012800,0.312800,0,0.012800,0.312800,
1977,0.012800,0.648200,0,0.012800,0.648200,
1978,0.012800,0.313000,0,0.012800,0.313000,
1979,0.012800,0.461800,0,0.012800,0.461800,
1980,0.012800,0.450300,0,0.012800,0.450300,
1981,0.012800,0.857000,0,0.012800,0.857000,
1982,0.012800,0.854100,0,0.012800,0.854100,
1983,0.012800,1.284200,0,0.012800,1.284200,
1984,0.012800,1.123500,0,0.012800,1.123500,
1985,0.012800,0.818500,0,0.012800,0.818500,
1986,0.012800,0.827000,0,0.012800,0.827000,
1987,0.012800,0.451100,0,0.012800,0.451100,
1988,0.012800,0.661900,0,0.012800,0.661900,
1989,0.012800,1.043300,0,0.012800,1.043300,
1990,0.012800,0.803000,0,0.012800,0.803000,
1991,0.012800,1.302500,0,0.012800,1.302500,
1992,0.012800,0.263936,0.000190,0.012800,0.263936,
1993,0.012800,0.626500,0,0.012800,0.626500,
1994,0.012800,0.714800,0,0.012800,0.714800,0
1995,0.012800,0.667900,0,0.012800,0.667900,0
1996,0.012800,0.490000,0,0.012800,0.490000,0
1997,0.012800,0.652600,0,0.012800,0.652600,0
1998,0.012800,0.667000,0,0.012800,0.667000,0
1999,0.012800,0.777200,0,0.012800,0.777200,0
2000,0.012800,0.777000,0,0.012800,0.777000,0
2001,0.012800,0.962700,0,0.012800,0.962700,0
2002,0.012800,0.935300,0,0.012800,0.935300,0
2003,0.012800,1.116432,0.000448,0.012800,1.116432,0.000448
2004,0.012800,1.201000,0.000561,0.012800,1.201000,0.000561
2005,0.012800,1.170500,0.000561,0.012800,1.170500,0.000561
2006,0.012800,1.124489,0.000140,0.012800,1.124489,0.000140
2007,0.012800,1.314272,0.000140,0.012800,1.314272,0.000140
2008,0.012800,1.298582,0.000163,0.012800,1.298582,0.000163
2009,0.012800,1.519782,0.000067,0.012800,1.519782,0.000067
2010,0.020000,1.686916,0.000056,0.020000,1.686916,0.000056
2011,0.024400,1.586990,0.000210,0.024400,1.586990,0.000210
2012,0.025400,2.171090,0.000292,0.025400,2.171090,0.000292
2013,0.012800,2.241670,0.000225,0.012800,2.241670,0.000225
2014,0.012800,2.424649,0.001069,0.012800,2.424649,0.001069
2015,0.012800,2.185039,0.000133,0.012800,2.185039,0.000133
2016,0.012800,1.824800,0.000033,0.012800,1.824800,0.000033
2017,0.012800,1.863633,0,0.012800,1.863633,0
2018,0.012800,1.948796,0,0.012800,1.948796,0
2019,0.012800,1.204997,0.000463,0.012800,1.228629,0.000463
2020,0.012800,0.716976,0.000001,0.012800,1.039664,0.000001
2021,0.012800,0.816426,0.000005,0.012800,0.894953,0.000005
2022,0.012800,0.747245,0,0.012800,0.805316,0
2023,,,,0.012800,1.175340,0.004102
