"Year","Egypt","World"
1950,0.356166,2.372741
1951,0.348509,2.509281
1952,0.345594,2.496828
1953,0.345013,2.519009
1954,0.284855,2.522133
1955,0.221730,2.710743
1956,0.205486,2.829705
1957,0.277778,2.864250
1958,0.360041,2.886446
1959,0.348031,2.981084
1960,0.356794,3.109071
1961,0.399990,3.068418
1962,0.477075,3.117449
1963,0.556383,3.212604
1964,Inf,3.313059
1965,Inf,3.389338
1966,Inf,3.482441
1967,Inf,3.521091
1968,Inf,3.638560
1969,Inf,3.800910
1970,1.333347,4.031813
1971,1.189274,4.112250
1972,0.835006,4.219880
1973,0.646437,4.358162
1974,0.556584,4.257539
1975,0.855000,4.190445
1976,1.198485,4.342568
1977,1.472676,4.387958
1978,1.740804,4.445411
1979,1.777451,4.491730
1980,2.012666,4.385349
1981,2.120936,4.204303
1982,2.146753,4.095304
1983,2.293294,4.047822
1984,2.578690,4.114002
1985,2.725199,4.177916
1986,2.463987,4.164586
1987,2.692199,4.215461
1988,2.537858,4.303169
1989,2.513589,4.285587
1990,2.509084,4.275440
1991,2.478240,4.288762
1992,2.471435,4.101485
1993,2.531741,4.079975
1994,2.453891,4.061836
1995,2.416564,4.097368
1996,2.323473,4.164388
1997,2.228296,4.131378
1998,2.157985,4.059213
1999,2.124639,4.096031
2000,2.096705,4.148800
2001,2.112922,4.125716
2002,2.109357,4.162733
2003,2.129757,4.327484
2004,2.077079,4.421495
2005,2.205534,4.515645
2006,2.451063,4.611727
2007,2.448842,4.688505
2008,2.504246,4.708763
2009,2.558573,4.572416
2010,2.469879,4.774950
2011,2.405062,4.878259
2012,2.343380,4.887112
2013,2.180517,4.868795
2014,2.007956,4.830362
2015,1.884029,4.767311
2016,1.753677,4.713752
2017,1.839699,4.735624
2018,2.009152,4.780249
2019,2.065453,4.778430
2020,1.891192,4.479880
2021,1.991396,4.676995
2022,1.909564,4.676281
2023,1.747987,4.697341
