"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,48.752091,4.182014,10.938926,29.678583,2.179854,1.772715
1991,47.949364,4.322387,10.086097,29.483139,2.010398,2.047343
1992,45.964938,4.446977,9.291025,28.827239,2.024717,1.374980
1993,43.325459,5.020294,8.387358,26.717620,1.939681,1.260508
1994,50.285530,6.890046,9.827498,28.943851,1.956169,2.667966
1995,50.294721,7.924572,10.649210,28.311204,1.824937,1.584797
1996,55.731291,8.680816,10.960371,32.580197,2.341580,1.168326
1997,54.418712,8.409405,10.692482,31.169879,2.756488,1.390457
1998,55.511189,8.302786,10.124061,32.928226,2.638380,1.517736
1999,56.478593,8.462772,10.603352,33.248952,2.883095,1.280421
2000,57.177708,6.920977,10.328823,35.043196,3.071565,1.813147
2001,54.554119,6.447583,9.733369,33.670742,3.369085,1.333341
2002,52.420643,6.566476,8.605701,32.449542,3.382273,1.416651
2003,54.972877,6.763166,8.550281,34.236987,3.827537,1.594906
2004,52.587106,7.073396,8.038790,32.071848,3.851425,1.551647
2005,51.384804,7.513112,8.924670,29.391230,3.751958,1.803834
2006,51.698884,7.597444,8.522326,29.955837,3.928462,1.694815
2007,50.934044,7.936220,7.263574,30.606077,3.858724,1.269449
2008,45.496065,7.832723,6.400507,26.338501,3.767330,1.157004
2009,45.437996,7.238332,6.037619,26.562223,4.120120,1.479702
2010,45.744605,6.718525,4.740965,28.960400,4.153509,1.171206
2011,42.830703,6.716328,3.516098,27.743981,3.461825,1.392471
2012,41.624630,6.440105,2.966530,27.334642,2.980115,1.903238
2013,42.003555,5.974252,2.775721,28.817685,3.308396,1.127501
2014,43.337491,6.018505,2.735707,30.659209,2.880364,1.043707
2015,43.796552,6.374029,2.464744,30.594757,3.049562,1.313461
2016,42.754468,6.135394,2.566937,29.954411,3.029909,1.067817
2017,44.858473,6.761165,2.463702,30.871566,3.132094,1.629946
2018,44.661001,6.623731,2.788277,30.917331,3.502742,0.828919
2019,44.144036,6.497759,3.286503,30.097258,3.168465,1.094051
2020,44.679516,5.646991,3.545968,31.075774,3.429355,0.981429
2021,43.987642,6.083864,2.498189,30.890649,3.489246,1.025695
2022,40.234808,6.708708,2.591539,26.450361,2.871079,1.613121
2023,38.217393,6.101239,1.751863,26.486230,2.851904,1.026158
