"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,36.110238,28.284613,3.454244,2.571040,1.800341,0,,
1991,33.332094,25.915213,3.336729,2.346290,1.733862,0,,
1992,23.956825,19.714911,1.931067,1.266070,1.044777,0,,
1993,19.189225,15.176491,1.793144,1.404815,0.814775,0,,
1994,19.557320,15.770639,1.517303,1.707971,0.561408,0,,
1995,17.547700,13.798373,1.481696,1.685654,0.581977,0,,
1996,18.533811,14.465710,1.565956,1.774183,0.727962,0,,
1997,18.121670,14.311747,1.322943,1.870154,0.616827,0,,
1998,16.308549,12.615700,1.187674,1.936087,0.569088,0,,
1999,15.378092,12.214364,0.810902,1.807873,0.544953,0,,
2000,14.931720,11.708405,0.889385,1.785396,0.548534,0,,
2001,15.314968,11.400601,1.089175,2.110101,0.715091,0,,
2002,14.985633,11.292599,0.796149,2.201195,0.695690,0,,
2003,16.830049,13.022254,0.932278,2.130768,0.744750,0,,
2004,16.784748,12.905339,0.981231,2.169328,0.728849,0,,
2005,16.582331,12.611613,1.017778,2.239026,0.713914,0,,
2006,15.909585,11.881403,1.011539,2.386480,0.630164,0,,
2007,19.226041,14.825562,1.300865,2.474535,0.625079,0,,
2008,17.079701,12.889642,1.195951,2.392867,0.601241,0,,
2009,14.172210,10.660440,0.744987,2.219545,0.547238,0,,
2010,18.694469,15.012388,0.769531,2.360932,0.551619,0,,
2011,18.565072,14.678930,0.894729,2.358141,0.633273,0,,
2012,17.139542,13.212839,0.888469,2.394012,0.644222,0,,
2013,18.923201,15.038231,0.897304,2.356592,0.631074,0,,
2014,18.373501,14.489524,0.810417,2.371438,0.702122,0,,
2015,15.570689,11.841287,0.587804,2.449997,0.691602,0,,
2016,17.249778,13.442042,0.613431,2.510798,0.683507,0,,
2017,18.296315,14.459593,0.578460,2.616365,0.641898,0,,
2018,17.493926,13.590893,0.611881,2.658998,0.632155,0,,
2019,11.988447,8.145342,0.637306,2.627989,0.577809,0,,
2020,9.184617,5.753368,0.411492,2.471402,0.548355,0,,
2021,10.381971,6.997675,0.309331,2.552001,0.522963,0,,
2022,11.983611,8.635493,0.266700,2.666797,0.414621,0,,
2023,8.768101,5.471890,0.228074,2.668978,0.399158,0,,
2024,8.122023,4.741251,0.260355,2.702462,0.417956,0,,
