"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,,,,
1962,,,,
1963,,,,
1964,,,,
1965,,,,
1966,,,,
1967,,,,
1968,,,,
1969,,,,
1970,,,,
1971,,,,
1972,,,,
1973,,,,
1974,,,,
1975,,,,
1976,,,,
1977,,,,
1978,,,,
1979,,,,
1980,,,,
1981,,,,
1982,,,,
1983,,,,
1984,,,,
1985,,,,
1986,,,,
1987,,,,
1988,,,,
1989,,,,
1990,,,,
1991,,,,
1992,0.000531,0.000635,0.002266,
1993,0.016200,0.047252,0.012406,0.000056
1994,0.026400,0.085700,0.035400,0.003055
1995,0.036200,0.086141,0.054400,0.047200
1996,0.021700,0.092887,0.071800,0.118000
1997,0.061400,0.106485,0.137800,0.113200
1998,0.092600,0.145084,0.179200,0.298100
1999,0.137291,0.165828,0.113440,0.380244
2000,0.199340,0.148795,0.129220,0.346480
2001,0.214990,0.131345,0.154100,0.582890
2002,0.236090,0.120985,0.170900,0.639060
2003,0.363445,0.133514,0.171520,0.941109
2004,0.499030,0.172422,0.191730,1.484365
2005,0.627206,0.191037,0.187714,1.883926
2006,0.752778,0.210026,0.278476,1.811022
2007,0.824367,0.248132,0.295180,1.433953
2008,0.539867,0.170701,0.297526,0.568328
2009,0.499068,0.127564,0.239416,0.284792
2010,0.641967,0.173167,0.273032,0.336396
2011,0.716504,0.189281,0.277024,0.346599
2012,0.803724,0.175722,0.282688,0.328833
2013,0.864041,0.199464,0.303792,0.298539
2014,0.981961,0.202428,0.332034,0.240587
2015,1.066062,0.223187,0.308660,0.293412
2016,1.161997,0.248076,0.313944,0.207451
2017,1.331172,0.268369,0.318884,0.235958
2018,1.437684,0.317972,0.298246,0.294529
2019,1.330038,0.286580,0.284000,0.341827
2020,1.509282,0.280503,0.266344,0.557696
2021,1.875707,0.314458,0.276936,0.888427
2022,1.355052,0.348337,0.246054,0.891098
2023,0.953379,0.214686,0.216128,0.612354
