"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.036906,0.459306,24498.277031,1570303
1991,0.034135,0.420300,23046.742428,1565383
1992,0.024413,0.292644,19734.191271,1540212
1993,0.019433,0.243225,17831.908943,1504342
1994,0.020039,0.246741,17539.034303,1475714
1995,0.018053,0.223795,18332.969857,1452777
1996,0.019033,0.237644,19239.171849,1434651
1997,0.018673,0.234099,21749.886549,1421496
1998,0.016933,0.210004,22693.794959,1411203
1999,0.015930,0.193456,22597.340545,1403578
2000,0.015471,0.199787,24876.876816,1396997
2001,0.015870,0.208245,26370.403211,1388171
2002,0.015358,0.207385,28156.040821,1379435
2003,0.017251,0.226136,30295.973949,1370850
2004,0.017322,0.230783,32357.313599,1362676
2005,0.017090,0.232070,35439.810650,1354848
2006,0.016438,0.229249,38900.714587,1346880
2007,0.019930,0.265484,41849.054381,1340705
2008,0.017815,0.244282,39701.361848,1337074
2009,0.014405,0.211418,33893.425541,1334528
2010,0.018965,0.263328,34721.870782,1331448
2011,0.018948,0.262666,37243.750802,1327358
2012,0.017761,0.264556,38446.054559,1322616
2013,0.019634,0.278868,39006.762772,1317919
2014,0.018784,0.266981,40181.397277,1314452
2015,0.015780,0.247055,40925.967638,1314576
2016,0.017433,0.254747,42217.413374,1315849
2017,0.018616,0.282544,44662.663009,1317425
2018,0.017801,0.280364,46508.938405,1321965
2019,0.012288,0.225938,48414.103038,1326822
2020,0.009198,0.211440,46985.369465,1329669
2021,0.010391,0.221198,50908.390684,1331749
2022,0.011966,0.227903,51009.556828,1350091
2023,0.008744,0.202599,52132.302664,1367196
2024,0.008307,0.200750,54111.985250,1360546
