"Year","Coal","Oil","Gas","Cement"
1950,4.747537,1.429760,0,0.367268
1951,6.048377,1.517593,0,0.410863
1952,6.398300,1.871512,0,0.385071
1953,4.945130,2.159141,0,0.461778
1954,5.878368,2.761551,0,0.512229
1955,6.591536,3.817888,0,0.516068
1956,6.935952,4.755872,0,0.476091
1957,6.734432,5.038000,0,0.468823
1958,5.118608,5.030672,0,0.457920
1959,7.254720,5.723168,0,0.577851
1960,7.262048,7.203424,0,0.621463
1961,6.233994,8.022465,0,0.665237
1962,6.516834,9.601249,0,0.672196
1963,6.921296,11.710144,0,0.705051
1964,8.013168,14.036784,0,0.777737
1965,7.225408,17.198816,0,0.875862
1966,6.789392,21.921712,0,0.777737
1967,6.595200,21.243872,0,0.748663
1968,7.869406,24.681651,0,0.730411
1969,9.445792,27.564272,0,0.886765
1970,8.633168,30.795051,0,0.926827
1971,7.778672,31.854816,0,0.903272
1972,8.811920,34.324352,0,0.969811
1973,9.786544,38.515968,0,1.017649
1974,9.738912,34.936240,0.868368,1.064851
1975,8.995836,34.620226,1.418081,0.991533
1976,12.223978,36.580328,1.524333,0.869826
1977,11.761440,35.844912,1.718416,0.812219
1978,15.385136,33.767424,1.868640,0.803815
1979,16.464905,35.073105,1.879505,0.819504
1980,20.011508,35.516580,1.765937,0.845263
1981,17.513920,31.645968,1.403312,0.840081
1982,12.031552,28.767280,1.322591,0.855052
1983,12.827664,26.483392,1.282400,0.869915
1984,15.034697,24.902705,1.462063,0.747676
1985,19.032221,27.929070,1.861449,0.726335
1986,16.997296,33.320416,2.260688,0.635966
1987,20.329165,33.575367,2.993678,0.635189
1988,19.734304,28.450960,3.206000,0.666818
1989,19.003843,28.481950,4.260935,0.701202
1990,22.136057,27.663246,5.153603,0.729179
1991,21.391901,26.812847,5.384484,0.568881
1992,20.681180,26.658778,5.575678,0.473455
1993,23.404723,25.608712,5.822844,0.361323
1994,27.597685,26.411151,6.296274,0.363592
1995,24.660801,25.595098,6.510333,0.377933
1996,29.761178,26.034634,6.790179,0.381418
1997,28.501254,26.019149,6.647299,0.449988
1998,23.721004,26.574943,7.592497,0.447847
1999,23.039388,26.726389,7.572213,0.478644
2000,21.988595,25.824454,7.716873,0.504844
2001,26.128573,26.446743,8.391126,0.503631
2002,28.308922,26.808759,8.340944,0.484866
2003,35.017872,26.925289,9.230704,0.466621
2004,31.642316,26.914703,8.870032,0.528846
2005,21.040511,26.364217,8.124391,0.542212
2006,31.585334,26.452502,8.687590,0.573898
2007,30.349417,26.646182,8.118139,0.605468
2008,23.675679,24.941339,8.359782,0.619774
2009,22.900389,24.197800,7.500589,0.385280
2010,29.146285,25.131337,8.274117,0.525706
2011,24.083505,23.766399,7.253779,0.557828
2012,19.596358,23.672796,6.462776,0.497163
2013,21.360032,22.840596,6.064399,0.481772
2014,19.326591,21.543450,5.392914,0.468797
2015,16.843419,21.385510,4.724240,0.462146
2016,18.659951,22.939932,4.207497,0.553242
2017,17.088668,22.214037,3.886661,0.603658
2018,17.924346,22.045079,4.412148,0.601681
2019,15.251650,21.656505,4.309081,0.583481
2020,11.862799,20.256368,4.357434,0.569667
2021,12.646023,19.540664,4.327325,0.622653
2022,12.145129,20.567082,2.402511,0.597072
2023,8.833524,18.703695,2.850558,0.597072
