"Year","Finland","World"
1950,1.632761,2.378734
1951,1.970735,2.515504
1952,2.116573,2.502896
1953,1.827707,2.524970
1954,2.186591,2.527923
1955,2.580554,2.716614
1956,2.842544,2.835461
1957,2.830882,2.869636
1958,2.432911,2.891376
1959,3.085330,2.985590
1960,3.405952,3.112931
1961,3.344926,3.071906
1962,3.738826,3.120741
1963,4.274298,3.215595
1964,5.018859,3.315825
1965,5.543220,3.391959
1966,6.436586,3.484865
1967,6.205754,3.523155
1968,7.192345,3.640223
1969,8.195532,3.802135
1970,8.760828,4.032588
1971,8.789168,4.112597
1972,9.506547,4.219747
1973,10.570311,4.355556
1974,9.937067,4.253289
1975,9.769483,4.173319
1976,10.834881,4.310191
1977,10.580584,4.352449
1978,10.905373,4.432504
1979,11.383716,4.465701
1980,12.165440,4.364099
1981,10.709369,4.168842
1982,8.904311,4.060496
1983,8.538958,4.023942
1984,8.633495,4.068703
1985,10.107392,4.137420
1986,10.820501,4.122175
1987,11.664730,4.179654
1988,10.523953,4.262697
1989,10.565266,4.241189
1990,11.414849,4.266701
1991,11.008441,4.282473
1992,10.763667,4.090168
1993,11.115958,4.068620
1994,12.133145,4.047994
1995,11.378796,4.083544
1996,12.496300,4.148108
1997,12.199205,4.114970
1998,11.517890,4.044522
1999,11.397506,4.079117
2000,11.015219,4.133621
2001,12.050954,4.107635
2002,12.508110,4.144280
2003,13.937968,4.307030
2004,13.187461,4.399256
2005,10.877451,4.493561
2006,12.983440,4.585831
2007,12.623872,4.661509
2008,11.033473,4.682571
2009,10.474341,4.545518
2010,11.949994,4.744937
2011,10.512893,4.848876
2012,9.448518,4.854014
2013,9.508824,4.837742
2014,8.719289,4.804597
2015,8.064650,4.739116
2016,8.598356,4.682487
2017,8.107079,4.705259
2018,8.291912,4.752195
2019,7.686681,4.747814
2020,6.821455,4.457744
2021,6.825390,4.634748
2022,6.524520,4.678452
2023,5.677192,4.707772
2024,5.300580,4.729075
