"YYYYMM","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
200801,5.341469,20.462581,12.371989,
200802,4.952542,18.337430,11.173183,
200803,3.587507,18.395401,11.294361,
200804,4.159301,18.662158,7.818724,
200805,3.094521,17.414156,4.107816,
200806,5.103765,16.994354,3.791826,
200807,5.524594,18.643558,3.735104,
200808,2.723166,17.133624,2.896838,
200809,5.918665,19.225546,4.029093,
200810,4.874883,19.713620,7.575171,
200811,4.467870,17.342867,10.343099,
200812,6.418911,21.192469,12.879198,
200901,3.823465,21.425787,14.498855,
200902,5.857569,18.180112,12.148692,
200903,3.536949,19.585018,10.520320,
200904,2.518602,17.893254,5.994005,
200905,2.281872,16.065565,4.217056,
200906,2.770536,17.696889,3.505275,
200907,3.054573,18.033672,3.331109,
200908,2.080337,16.013500,3.065928,
200909,4.574067,18.288932,3.541743,
200910,5.667665,19.235814,6.730915,
200911,4.804179,16.498110,9.619459,
200912,4.191373,20.591665,13.491963,
201001,4.973687,17.693367,15.305781,
201002,4.683804,18.218589,12.145684,
201003,4.689378,19.276520,11.348030,
201004,3.666737,17.525231,6.510711,
201005,4.242727,16.152153,6.719370,
201006,2.868571,17.041612,3.850241,
201007,4.055174,17.960628,2.764800,
201008,2.569870,17.139896,2.725533,
201009,3.574011,18.800545,4.360605,
201010,3.191963,18.378476,6.108902,
201011,5.290659,17.370735,10.327551,
201012,5.264469,20.296705,13.966549,
201101,4.017239,18.039706,15.006687,
201102,4.355914,17.872778,12.457668,
201103,4.110854,18.202447,10.483251,
201104,3.413068,16.746373,5.096378,
201105,3.668855,16.972183,4.386638,
201106,2.242039,16.584978,3.422565,
201107,2.794151,17.208293,3.482313,
201108,2.539872,17.721571,2.747980,
201109,3.631226,18.353393,3.865046,
201110,3.695958,17.803564,6.209874,
201111,5.675194,16.390761,9.273394,
201112,2.024776,17.010868,11.417903,
201201,1.437579,17.370046,12.525049,
201202,6.323485,18.421452,15.090659,
201203,3.052770,16.921755,9.391868,
201204,4.648294,16.071804,7.774859,
201205,4.079026,16.090410,4.447353,
201206,3.561036,16.881958,3.598411,
201207,3.517888,17.882993,3.275074,
201208,3.758486,16.199355,2.406007,
201209,4.202794,16.926815,3.860301,
201210,3.990470,18.854209,6.389632,
201211,4.879363,17.169626,10.299628,
201212,3.479383,16.563910,11.778019,
201301,3.808326,16.893506,13.053238,
