"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,3.250586,3.329248,3.268103,3.272786,3.274552,3.270215,3.110720,3.137473,3.186592,3.011824,2.822073,2.845286,2.766542,2.756650,2.802380,2.792067,2.785670,2.795092,2.783683,2.782399,2.830583,2.781853,2.924153
1991,3.259752,3.349309,3.293340,3.296681,3.296895,3.291337,3.121521,3.142830,3.200251,3.021439,2.833847,2.859146,2.796194,2.788661,2.832708,2.819296,2.813370,2.823368,2.802405,2.801584,2.850840,2.799668,2.935125
1992,3.245540,3.332295,3.277405,3.281224,3.286407,3.279675,3.104170,3.131005,3.199988,3.026576,2.840038,2.867082,2.792648,2.786240,2.827152,2.812623,2.806684,2.816386,2.806373,2.804971,2.855562,2.801031,2.929727
1993,3.255511,3.341033,3.293436,3.297462,3.302112,3.294069,3.111053,3.136594,3.213181,3.037546,2.853132,2.877840,2.809509,2.804211,2.843049,2.828216,2.821816,2.831379,2.821962,2.820994,2.871359,2.816372,2.942569
1994,3.251400,3.329166,3.282679,3.286923,3.298295,3.290099,3.104094,3.132619,3.225530,3.044415,2.843034,2.878418,2.807056,2.808748,2.846337,2.831091,2.824973,2.835486,2.816118,2.815764,2.868699,2.813464,2.939264
1995,3.273084,3.350284,3.305042,3.311433,3.323126,3.311912,3.123378,3.153658,3.265889,3.090616,2.864675,2.903433,2.833015,2.841504,2.877556,2.855512,2.849047,2.859516,2.832211,2.831674,2.887373,2.829666,2.953666
1996,3.249995,3.328233,3.287219,3.292292,3.300582,3.287090,3.092937,3.130322,3.262038,3.090706,2.837268,2.876598,2.810535,2.821269,2.856451,2.823271,2.817114,2.828409,2.796029,2.795327,2.863444,2.803324,2.925474
1997,3.101065,3.167882,3.131786,3.136491,3.142690,3.129591,2.969059,2.998248,3.225063,3.062434,2.784699,2.819944,2.752153,2.773520,2.806852,2.779474,2.772537,2.784273,2.746196,2.745844,2.813747,2.750678,2.870174
1998,3.081342,3.145787,3.129269,3.134161,3.134891,3.121387,2.960855,2.982643,3.240408,3.087588,2.793499,2.820946,2.762637,2.786060,2.817631,2.783385,2.776539,2.788834,2.747952,2.747834,2.829901,2.763005,2.880665
1999,3.041353,3.100163,3.071550,3.077017,3.074143,3.091859,2.934606,2.952334,3.246156,3.099615,2.782029,2.808398,2.829315,2.788487,2.818207,2.784632,2.777156,2.791129,2.746712,2.746520,2.830580,2.760356,2.877738
2000,3.031339,3.088833,3.059906,3.065592,3.055254,3.073708,2.921647,2.947854,3.276198,3.129739,2.832837,2.863624,2.798003,2.832187,2.831526,2.798463,2.790597,2.805909,2.761570,2.761063,2.858741,2.788446,2.906454
2001,2.986205,3.035099,3.006369,3.006328,2.984144,2.995929,2.855584,2.901915,3.262565,3.118677,2.798380,2.824868,2.755452,2.792525,2.826730,2.792376,2.784482,2.800597,2.756101,2.755995,2.868861,2.798669,2.917115
2002,,2.963150,2.927998,2.927430,2.899124,2.915631,2.791081,2.854693,3.237984,3.099116,2.738708,2.772825,2.706776,2.742182,2.761998,2.724589,2.715630,2.732624,2.692831,2.692849,2.806612,2.733182,2.851231
2003,,,2.862376,2.864186,2.819235,2.842745,2.720001,2.787383,3.193714,3.058955,2.670054,2.706043,2.655286,2.687747,2.725541,2.680791,2.667521,2.689285,2.654297,2.654007,2.768561,2.692229,2.806289
2004,,,,2.801894,2.758451,2.762577,2.639560,2.715062,3.159572,3.021416,2.619744,2.653460,2.595448,2.623807,2.660510,2.619937,2.611409,2.629918,2.599901,2.599599,2.727925,2.651113,2.764556
2005,,,,,2.702000,2.730913,2.612371,2.690705,3.140321,3.000965,2.579780,2.612513,2.562618,2.585959,2.623484,2.575952,2.567131,2.586112,2.562590,2.562175,2.692766,2.617478,2.730310
2006,,,,,,2.690279,2.578755,2.652150,3.126227,2.987315,2.556016,2.588931,2.578057,2.573363,2.609762,2.547473,2.536329,2.556803,2.541242,2.540691,2.669040,2.593422,2.705866
2007,,,,,,,2.565751,2.643000,3.138049,3.006191,2.555446,2.588937,2.558945,2.559284,2.591457,2.529838,2.519754,2.539774,2.530619,2.529444,2.664692,2.589123,2.701982
2008,,,,,,,,2.643607,3.161192,3.031100,2.571598,2.605173,2.560568,2.561125,2.590750,2.532939,2.521390,2.541922,2.541708,2.540384,2.683953,2.612207,2.729612
2009,,,,,,,,,3.119701,2.993282,2.511760,2.545662,2.515102,2.515640,2.545193,2.489021,2.476546,2.498273,2.497216,2.495542,2.633836,2.562864,2.683602
2010,,,,,,,,,,2.991691,2.510875,2.544406,2.514565,2.501035,2.529333,2.476000,2.466244,2.487894,2.485939,2.483624,2.633264,2.551437,2.674603
2011,,,,,,,,,,,2.450152,2.482530,2.489840,2.465178,2.491170,2.428874,2.413715,2.440255,2.438697,2.436587,2.535878,2.451802,2.574593
2012,,,,,,,,,,,,2.464042,2.427741,2.405101,2.429801,2.375048,2.359461,2.387048,2.389216,2.387209,2.509369,2.427853,2.555329
2013,,,,,,,,,,,,,2.385641,2.361769,2.382703,2.354041,2.337945,2.366428,2.383787,2.380826,2.451307,2.366966,2.496303
2014,,,,,,,,,,,,,,2.390478,2.411062,2.348747,2.330137,2.359479,2.374528,2.369329,2.408509,2.322367,2.445021
2015,,,,,,,,,,,,,,,2.374082,2.319178,2.299093,2.332341,2.339795,2.332751,2.386394,2.302228,2.419501
2016,,,,,,,,,,,,,,,,2.266804,2.283610,2.309887,2.323817,2.315682,2.383496,2.301842,2.413502
2017,,,,,,,,,,,,,,,,,2.266350,2.295159,2.306798,2.298893,2.360022,2.280146,2.388903
2018,,,,,,,,,,,,,,,,,,2.260000,2.275408,2.268111,2.321105,2.238933,2.346470
2019,,,,,,,,,,,,,,,,,,,2.258636,2.249049,2.320701,2.226057,2.344847
2020,,,,,,,,,,,,,,,,,,,,2.204912,2.277655,2.179521,2.292677
2021,,,,,,,,,,,,,,,,,,,,,2.221297,2.124735,2.241249
2022,,,,,,,,,,,,,,,,,,,,,,2.077415,2.198608
2023,,,,,,,,,,,,,,,,,,,,,,,2.169504
