"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,66.437714,18.607800,28.367215
1991,67.071007,19.460880,29.354405
1992,69.853895,19.998514,30.568018
1993,69.957467,20.230690,30.163088
1994,69.798878,20.415838,30.950883
1995,70.937229,20.202644,31.240093
1996,71.308574,20.502041,31.464521
1997,71.637128,21.156639,32.531728
1998,72.841352,21.382728,32.882533
1999,74.482099,21.465639,33.960549
2000,74.483922,20.705986,34.147270
2001,77.042766,21.044003,34.361073
2002,77.643485,21.048096,34.521975
2003,78.043235,21.005243,34.056263
2004,77.471264,20.622062,35.271453
2005,75.983935,20.266163,35.055904
2006,75.805766,20.175788,35.211564
2007,75.308202,19.721934,34.918845
2008,72.004660,18.465283,32.934601
2009,72.951362,18.712790,31.494633
2010,72.828065,19.233046,31.952661
2011,72.577634,19.599396,32.773936
2012,71.514561,19.638528,32.027391
2013,71.288764,19.767004,31.860314
2014,71.720742,19.374633,31.666572
2015,72.200481,19.957653,32.103766
2016,72.815846,19.632139,32.057312
2017,71.698133,19.979777,32.801647
2018,69.662544,19.731783,32.289163
2019,69.305214,19.729944,31.832124
2020,56.642585,16.878067,29.131583
2021,63.646951,19.579059,32.611288
2022,67.048152,19.810299,32.197278
2023,64.672709,19.146282,30.595419
