"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
2000,1.097999,0.516312,0.213127,0.128219,0.240340,,,
2010,1.828917,0.917321,0.333379,0.155957,0.422260,,,
2011,1.837742,1.008671,0.308336,0.142774,0.377962,,,
2012,1.823261,0.991978,0.310169,0.126580,0.394533,,,
2013,1.732492,0.892459,0.312011,0.126441,0.401581,,,
2014,1.779749,0.955434,0.320231,0.106127,0.397957,,,
2015,1.836018,1.019175,0.308615,0.112203,0.396026,,,
2016,1.996141,1.058792,0.382978,0.115111,0.439260,,,
2017,3.505005,1.210531,0.655261,1.115618,0.523596,,,
2018,3.411072,1.132525,0.762346,0.971853,0.544349,,,
2019,3.351556,1.004634,0.774999,1.009649,0.562274,,,
2020,3.187916,1.132230,0.749142,0.795892,0.510651,,,
2021,3.675377,1.222906,0.815828,1.041293,0.595351,,,
2022,4.095895,1.184851,0.920396,1.390402,0.600246,,,
