"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
2000,1.412567,0.000027,,1.411629,0.000070,0.000842
2010,0.463816,0.000036,,0.462825,0.000116,0.000840
2011,0.414797,0.000034,,0.413794,0.000123,0.000846
2012,0.401499,0.000032,,0.400463,0.000159,0.000846
2013,0.392764,0.000030,,0.391751,0.000138,0.000845
2014,0.390961,0.000026,,0.389948,0.000143,0.000844
2015,0.383821,0.000025,,0.382806,0.000146,0.000844
2016,0.403026,0.000025,,0.402041,0.000149,0.000811
2017,0.406943,0.000085,,0.405905,0.000151,0.000803
2018,0.406372,0.000081,,0.405307,0.000155,0.000830
2019,0.412288,0.000158,,0.411168,0.000143,0.000819
2020,0.398595,0.000129,,0.397489,0.000163,0.000813
2021,0.417957,0.000156,,0.416827,0.000168,0.000807
2022,0.433477,0.000172,,0.432332,0.000172,0.000801
