"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,8.731900,0.825700,2.923600,1.738400
1962,8.198200,0.928900,3.086800,1.675200
1963,8.842400,1.025300,3.296800,1.492200
1964,10.596400,1.252200,3.730400,1.610900
1965,10.101700,1.244300,3.444600,1.598100
1966,8.866500,1.259242,3.777000,1.269500
1967,9.305300,1.683441,4.152600,0.950700
1968,10.178200,1.926231,4.534400,0.901000
1969,8.643600,1.724276,4.832400,0.974800
1970,8.973700,1.962484,4.465400,0.926200
1971,8.922700,2.033017,5.296200,0.714000
1972,9.094800,2.420763,6.107400,0.580400
1973,10.971900,3.317155,6.447800,0.782000
1974,9.127700,2.346357,7.452000,0.653200
1975,5.871800,2.213205,5.308000,0.485400
1976,7.877400,2.506822,6.215200,0.422700
1977,6.994900,2.271300,6.788000,0.390200
1978,7.105000,2.883100,6.990800,0.378800
1979,8.339600,3.177100,7.453600,0.400400
1980,6.632100,2.368300,7.019200,0.349100
1981,6.027600,2.765300,8.067200,0.291200
1982,7.137300,2.705400,7.912800,0.286000
1983,7.969000,2.959800,8.558000,0.264200
1984,7.466000,2.973000,9.044000,0.222000
1985,7.002000,3.092700,9.196000,0.176000
1986,8.263000,3.073600,9.502000,0.143700
1987,9.083500,3.302500,10.572400,0.150600
1988,10.048000,3.807200,11.201000,0.260900
1989,9.542900,3.884700,11.981600,0.271500
1990,10.661400,3.202100,11.193400,0.253325
1991,7.280100,2.757100,11.054600,0.249906
1992,7.181157,2.981000,11.784094,0.317950
1993,6.687703,2.696000,11.607160,0.254093
1994,8.575000,2.670000,12.866000,0.318000
1995,5.532500,2.780000,12.554000,0.489000
1996,5.951900,2.916000,13.050000,0.848000
1997,7.102000,2.821000,14.196000,0.587000
1998,6.969300,3.233300,13.450800,0.468000
1999,7.015000,2.990800,14.179200,0.247500
2000,7.852500,3.270100,13.350000,0.258900
2001,7.801100,3.564231,14.650500,0.357301
2002,8.200900,3.746375,14.150872,0.490420
2003,8.714007,3.463714,14.979410,0.703461
2004,8.652976,3.782938,15.055338,0.631905
2005,8.222695,3.482261,15.326000,0.661661
2006,7.962654,3.627341,15.482002,0.419379
2007,8.468828,3.814141,15.780002,0.682743
2008,5.886000,3.358942,14.805642,0.507313
2009,5.239585,2.484273,14.036788,0.308615
2010,5.699069,2.673244,14.507528,0.344683
2011,4.936349,2.801075,13.774188,0.308668
2012,5.178714,2.629628,12.119000,0.289550
2013,5.517601,2.939742,11.732324,0.475829
2014,6.424216,3.236150,11.252714,0.545214
2015,6.322549,3.200158,12.064000,0.533819
2016,6.645646,3.383931,11.751406,0.643403
2017,7.662510,3.453457,11.207292,0.518703
2018,7.212940,3.847825,10.954134,0.753204
2019,7.039993,3.597036,10.300002,1.462021
2020,7.217787,3.245349,9.110000,1.150828
2021,8.158976,3.780291,8.412000,0.763759
2022,6.294000,3.225000,9.460000,1.051000
2023,6.210000,3.126000,7.980000,1.001000
