"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,0.990000,0.187400,8.042600,2.928000
1962,0.875300,0.211700,7.904600,2.954000
1963,0.879800,0.231400,8.274400,3.007000
1964,1.115900,0.306100,8.802600,3.517000
1965,1.062800,0.352300,9.072800,3.502000
1966,1.004300,0.409500,9.079800,3.370000
1967,0.909300,0.337900,8.872400,3.142000
1968,0.960600,0.386800,9.320200,3.185000
1969,0.967600,0.404500,9.873000,3.525000
1970,1.323000,0.385100,9.806400,3.492000
1971,1.289000,0.327900,8.671800,3.530000
1972,1.326000,0.346600,8.675600,3.603000
1973,1.396000,0.387000,9.228000,3.492000
1974,1.284000,0.478600,9.104000,3.406000
1975,1.199000,0.635800,7.230000,3.430000
1976,1.461000,0.761000,8.376000,3.580000
1977,1.647000,0.643000,8.290000,3.880000
1978,1.666000,0.611000,8.330000,3.810000
1979,1.766000,0.680000,8.446000,4.120000
1980,1.721000,0.680000,7.574000,3.951000
1981,1.543000,0.605000,6.758000,4.314000
1982,1.687000,0.605000,6.454000,4.080000
1983,1.619000,0.624000,6.416000,3.940000
1984,1.520000,0.660000,7.182000,3.870000
1985,1.717000,0.949000,7.424000,4.775000
1986,1.807000,1.075000,7.882000,5.207000
1987,1.823000,1.212000,8.368000,5.428000
1988,1.919000,1.675000,8.590000,6.041000
1989,2.191000,1.657000,8.900000,6.427000
1990,2.271000,1.707000,9.648000,6.350000
1991,2.241000,1.763000,9.902000,6.372000
1992,2.097000,1.917000,10.304000,6.408000
1993,2.112000,2.097000,10.564000,6.711000
1994,2.225000,2.208000,11.658000,7.479000
1995,2.295000,2.531000,12.186000,7.555000
1996,2.291000,2.589000,12.378000,7.093000
1997,2.356000,2.640000,12.960000,7.482000
1998,2.515000,2.727000,12.954000,7.600000
1999,2.651000,2.974000,13.152000,7.794000
2000,2.622382,3.275000,13.210000,7.785000
2001,2.710853,3.255000,12.408000,7.898000
2002,2.705370,3.217000,12.904000,7.771000
2003,2.742219,3.361000,12.910000,8.046000
2004,2.771742,3.533000,12.884000,8.291000
2005,2.781000,3.398000,12.482000,8.519000
2006,2.905000,3.498000,10.908000,8.424000
2007,3.145000,3.549000,10.456000,9.021000
2008,2.815255,3.140000,9.966540,8.416460
2009,2.856458,3.030000,8.586002,8.623629
2010,3.100646,3.370000,8.600002,9.718263
2011,3.279070,3.384000,8.683996,10.020468
2012,3.409400,3.003000,8.583996,10.119547
2013,3.581095,3.032000,9.122002,10.820680
2014,3.763654,3.068000,8.794000,11.184042
2015,3.492916,3.080000,7.940002,10.550048
2016,3.671129,3.033000,7.354002,10.753684
2017,3.763206,3.176000,7.713980,10.921011
2018,3.659332,3.079000,7.789450,11.150491
2019,3.454581,3.246000,7.701978,10.782981
2020,3.347893,2.952000,7.267658,10.450317
2021,3.610837,3.486000,7.283982,10.899278
2022,3.145000,3.261000,6.912000,9.787000
2023,2.908000,3.216000,6.450752,9.506000
