"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,0.218901,0.218908,0.219006,0.220566,0.205267,0.206028,0.208403,0.210117,0.216127,0.217925,0.222067,0.222681,0.188207,0.162782,0.163977,0.159438,0.154792,0.155069,0.157030,0.158688,0.160472,0.158704,0.159785
1991,0.212727,0.212698,0.212759,0.213985,0.205124,0.205948,0.208256,0.209945,0.215971,0.218444,0.222799,0.223460,0.188754,0.163431,0.164659,0.160066,0.155501,0.155805,0.157675,0.159467,0.161044,0.159180,0.160251
1992,0.190615,0.190603,0.190700,0.191929,0.185025,0.185507,0.187264,0.188684,0.194650,0.202929,0.207170,0.207898,0.173758,0.148505,0.149780,0.143547,0.138978,0.139318,0.141245,0.142905,0.144367,0.142339,0.143399
1993,0.178673,0.178628,0.178825,0.179565,0.170592,0.171052,0.172629,0.173602,0.179572,0.187749,0.192287,0.193000,0.159224,0.134764,0.136075,0.129353,0.124730,0.125108,0.127110,0.128677,0.130038,0.128009,0.129106
1994,0.192790,0.192651,0.189044,0.189251,0.174532,0.175169,0.176990,0.177319,0.183213,0.189015,0.193788,0.194528,0.160030,0.135693,0.137043,0.131542,0.126796,0.127248,0.129326,0.130841,0.132323,0.130360,0.131439
1995,0.184114,0.183939,0.184149,0.184047,0.170421,0.171116,0.173354,0.172832,0.179080,0.184219,0.188781,0.189550,0.155207,0.131192,0.132534,0.127396,0.122586,0.123021,0.125176,0.126344,0.127792,0.125784,0.126871
1996,0.190703,0.190483,0.190510,0.189878,0.171747,0.172377,0.171204,0.172466,0.178799,0.184010,0.188435,0.189395,0.154614,0.130204,0.131628,0.127386,0.122535,0.122988,0.125187,0.126615,0.128160,0.125947,0.126887
1997,0.196047,0.196184,0.196235,0.195332,0.176270,0.177006,0.174700,0.175917,0.181995,0.185315,0.189648,0.190785,0.154986,0.130674,0.132154,0.128241,0.123369,0.123839,0.126119,0.127820,0.129247,0.126945,0.127864
1998,0.187081,0.187363,0.187429,0.185976,0.175371,0.176011,0.172821,0.174048,0.180104,0.184779,0.188825,0.190194,0.154752,0.130767,0.132229,0.128108,0.123267,0.123706,0.125950,0.127911,0.129370,0.127231,0.128107
1999,0.144897,0.145231,0.145064,0.143445,0.142125,0.142594,0.138447,0.139734,0.145815,0.150318,0.154828,0.156287,0.121311,0.097554,0.098921,0.096104,0.091289,0.091751,0.093796,0.095971,0.097360,0.095157,0.096019
2000,0.144278,0.144495,0.144708,0.142761,0.140337,0.140651,0.135272,0.136518,0.142456,0.147548,0.151757,0.153214,0.119715,0.096474,0.097958,0.093858,0.089108,0.089550,0.091650,0.093857,0.095198,0.093185,0.094082
2001,0.136621,0.137239,0.137497,0.135879,0.133618,0.134030,0.127513,0.128595,0.134363,0.139407,0.143088,0.144593,0.113604,0.091295,0.092753,0.088786,0.084116,0.084441,0.086508,0.089142,0.090461,0.088566,0.089515
2002,,0.132303,0.132401,0.130557,0.128927,0.129366,0.121794,0.122967,0.129165,0.133658,0.137264,0.138789,0.107664,0.085278,0.086714,0.082105,0.078636,0.078974,0.081206,0.083438,0.085022,0.083029,0.083933
2003,,,0.130392,0.129380,0.127918,0.128482,0.119879,0.121067,0.127142,0.131931,0.135640,0.137088,0.106944,0.084507,0.086035,0.081859,0.077190,0.077552,0.079811,0.081882,0.083547,0.081688,0.082569
2004,,,,0.131597,0.130434,0.131024,0.121544,0.122817,0.129120,0.134184,0.137637,0.139034,0.109081,0.086695,0.088408,0.083932,0.079137,0.079371,0.081652,0.083944,0.085474,0.083647,0.084597
