"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,17.560083,2.892600,0.925266,4.732021,2.347290,6.662905
1991,18.121837,2.794162,0.934696,5.097479,2.580968,6.714532
1992,20.134725,4.606311,0.964416,5.002176,2.794035,6.767788
1993,20.613788,4.798147,0.944638,5.072264,2.975978,6.822760
1994,20.924999,5.012925,0.797874,5.180979,3.053725,6.879496
1995,20.181434,3.869645,0.778830,5.423520,3.171337,6.938102
1996,20.420031,3.804087,0.783932,5.565385,3.267975,6.998651
1997,21.726310,4.782382,0.829898,5.691994,3.360782,7.061254
1998,23.067823,6.393815,0.326974,5.836742,3.449901,7.060390
1999,22.762295,5.493362,0.575817,5.931288,3.538665,7.223163
2000,20.605590,4.549203,0.862480,6.069966,3.739324,5.384617
2001,21.713540,4.826496,0.884169,6.239980,3.829475,5.933420
2002,23.894061,6.727975,0.730103,6.409514,3.879650,6.146818
2003,23.436354,6.914322,0.124300,6.613450,3.997591,5.786691
2004,21.769128,6.268945,0.054266,6.091054,4.118270,5.236593
2005,24.157616,7.437130,0.332979,6.813450,4.249393,5.324663
2006,26.413239,8.519400,0.889707,7.064634,4.441825,5.497673
2007,29.289547,10.711847,0.633974,7.199983,5.214343,5.529401
2008,27.335498,8.386610,0.636363,7.416716,5.315582,5.580227
2009,28.186616,8.797764,0.821170,7.795026,5.452599,5.320057
2010,31.994459,11.969433,0.898068,7.945190,5.587318,5.594450
2011,34.471817,13.473228,1.148897,8.145318,6.225246,5.479129
2012,36.816313,15.021886,1.248886,8.588945,6.368702,5.587894
2013,37.899306,15.073721,1.102790,8.978326,6.824738,5.919730
2014,37.444333,14.047043,1.128455,9.029668,7.415758,5.823410
2015,38.905947,14.531897,1.163339,9.596933,7.442905,6.170873
2016,40.397490,15.891504,1.301416,9.973357,7.719995,5.511219
2017,43.130859,18.434766,1.404127,10.397903,7.706302,5.187761
2018,45.438837,20.153532,1.530573,10.552950,7.912540,5.289242
2019,49.691609,21.748194,1.709747,11.132769,8.080255,7.020645
2020,53.227540,25.261787,1.676306,11.736210,8.107341,6.445896
2021,53.083462,25.177347,1.862949,11.451553,8.371699,6.219915
2022,54.693998,24.698603,1.905230,11.520812,9.771835,6.797519
