"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,101.704829,83.360846,12.596958,6.861511,1.165122,-2.279608
1991,101.592944,83.367048,12.548688,6.741251,1.348084,-2.412126
1992,102.681643,84.861682,12.691431,6.598130,1.134773,-2.604372
1993,101.736754,84.181970,12.731149,6.105523,1.807721,-3.089609
1994,104.628830,86.333779,12.800039,5.983609,2.338939,-2.827536
1995,106.501482,86.906045,12.961748,6.164785,3.547725,-3.078821
1996,110.214602,89.077582,13.122469,6.316071,4.098927,-2.400447
1997,115.273395,93.726165,13.106242,6.176590,4.461024,-2.196625
1998,120.773012,98.426689,13.456235,6.109812,5.000550,-2.220274
1999,120.241378,97.912767,13.251357,6.055726,5.765612,-2.744084
2000,124.135289,102.716165,13.477428,5.890768,4.574658,-2.523730
2001,125.083985,105.318461,12.501022,5.751755,4.159304,-2.646557
2002,124.726813,104.985380,12.569538,5.705027,4.459034,-2.992165
2003,128.825130,109.049136,12.686950,5.635492,4.197338,-2.743786
2004,129.492094,109.456824,12.722467,5.641741,4.393449,-2.722387
2005,133.195722,113.863887,12.810340,5.480851,4.592334,-3.551689
2006,129.655827,112.381269,12.906276,5.325929,2.656065,-3.613712
2007,133.702506,114.148184,13.136952,5.436506,3.161423,-2.180560
2008,129.175885,111.013365,12.692508,5.202673,3.609750,-3.342410
2009,121.886754,104.249281,12.303626,4.879407,3.893728,-3.439287
2010,115.822589,97.320192,12.523628,5.050843,4.338921,-3.410994
2011,112.736345,94.470216,12.364441,4.836566,4.585618,-3.520495
2012,109.447674,91.326425,12.219139,4.458702,5.003517,-3.560109
2013,100.796822,81.680606,11.922482,4.186381,5.564977,-2.557624
2014,97.929839,78.611268,11.707801,3.986136,5.632043,-2.007409
2015,92.600399,74.900752,11.498480,3.918548,5.754972,-3.472352
2016,88.346780,71.309044,11.149266,3.967233,5.971980,-4.050743
2017,92.444166,74.806976,11.483421,4.030617,5.925196,-3.802044
2018,88.366630,71.742092,11.643410,3.938661,5.686581,-4.644114
2019,81.223707,65.630778,11.476484,3.933076,5.265781,-5.082412
2020,70.726805,55.541639,11.401221,3.976317,4.954901,-5.147272
2021,72.966604,57.350287,11.904185,3.966829,4.791811,-5.046507
2022,72.589378,57.529776,11.831196,3.758327,4.650572,-5.180493
2023,67.831660,51.413870,12.183742,3.753104,4.583955,-4.103012
