"YYYYMM","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
200801,3.769514,5.773584,0.807443,
200802,3.232578,5.394189,0.760028,
200803,2.371492,4.119622,0.747503,
200804,3.547448,3.918359,0.567486,
200805,3.343943,3.253401,0.644821,
200806,4.100956,3.530957,0.716689,
200807,4.505978,4.070375,0.803666,
200808,4.099625,3.792533,0.690695,
200809,3.772166,3.818807,0.681799,
200810,3.913360,4.244606,0.566045,
200811,3.514962,4.973780,0.528570,
200812,3.113254,5.834298,0.594375,
200901,3.173945,5.179909,0.565958,
200902,3.350376,5.382011,0.471983,
200903,3.763986,5.024786,0.418811,
200904,3.209613,4.252339,0.393687,
200905,3.514842,3.430625,0.519498,
200906,3.724271,3.782425,0.510915,
200907,4.100746,3.820132,0.604123,
200908,3.684643,3.753090,0.531820,
200909,4.074259,3.291822,0.574108,
200910,3.589021,3.973924,0.659309,
200911,3.231465,3.888857,0.676761,
200912,2.825775,4.347929,0.696323,
201001,3.333126,4.494646,0.688942,
201002,2.792361,4.488002,0.615168,
201003,3.187704,4.168265,0.592794,
201004,3.547086,3.572940,0.504796,
201005,3.818172,2.963539,0.552580,
201006,3.815069,3.266657,0.493899,
201007,3.590947,3.529852,0.647860,
201008,4.353446,3.382425,0.637011,
201009,3.359864,2.788753,0.527748,
201010,3.369660,3.656295,0.642363,
201011,3.169926,3.531474,0.554943,
201012,2.922497,4.158791,0.707939,
201101,3.289018,3.873786,0.773675,
201102,3.381894,4.106241,0.724679,
201103,3.616139,3.987412,0.852106,
201104,3.368648,3.725975,0.685606,
201105,3.855699,2.637331,0.665235,
201106,2.655726,2.994964,0.671437,
201107,4.109434,3.076750,0.825008,
201108,4.137151,3.133827,0.643242,
201109,3.575067,2.796613,0.678641,
201110,3.472653,3.156864,0.668050,
201111,3.406620,3.429285,0.815705,
201112,3.211566,3.581780,0.807595,
201201,4.065064,4.190856,0.984955,
201202,3.532275,3.673488,0.970955,
201203,3.468598,3.294228,0.790811,
201204,3.039096,3.310262,0.510297,
201205,3.197921,2.664579,0.553482,
201206,3.667016,2.856531,0.502752,
201207,4.222885,2.733029,0.671791,
201208,4.071015,3.253869,0.551916,
201209,3.410954,2.492146,0.579631,
201210,3.597181,2.621082,0.555191,
201211,3.340404,2.345955,0.577400,
201212,3.644543,2.862438,0.844864,
201301,3.715659,2.716407,0.953634,
201302,2.813368,2.670650,0.873341,
201303,2.725643,2.497074,0.890892,
201304,2.253877,2.640893,0.584644,
201305,2.971530,2.592314,0.449006,
201306,3.192465,2.569718,0.379870,
201307,3.303117,2.942741,0.374734,
201308,3.357399,2.964047,0.362892,
201309,3.192900,2.654773,0.436660,
201310,3.050197,2.619353,0.490468,
201311,3.108420,2.777776,0.696636,
201312,3.606138,3.266761,0.842996,
201401,3.625749,2.629634,0.675296,
201402,3.009682,2.473643,0.600429,
201403,2.915431,2.541201,0.484007,
201404,2.792126,2.492783,0.418251,
201405,2.707214,2.562477,0.325258,
201406,2.934940,2.686984,0.383060,
201407,3.049283,3.042411,0.456239,
201408,3.108643,2.905838,0.377226,
201409,2.750900,2.704527,0.394919,
201410,2.776121,2.986587,0.375009,
201411,2.614799,2.985144,0.505170,
201412,2.942279,3.475136,0.564176,
201501,2.920560,3.260670,0.636040,
201502,2.051754,2.815278,0.536910,
201503,2.470040,2.815737,0.490647,
201504,1.858679,2.783398,0.356176,
201505,2.490835,2.476807,0.293165,
201506,2.705854,2.744636,0.292776,
201507,3.529928,2.840023,0.542347,
201508,1.731222,2.950499,0.433752,
201509,2.677705,2.664495,0.455160,
201510,1.919197,2.839979,0.624777,
201511,2.734183,2.951763,0.526327,
201512,2.858893,3.839400,0.846677,
201601,2.765037,3.104687,0.790348,
201602,1.901044,2.855580,0.531525,
201603,1.613294,2.902199,0.561043,
201604,1.230776,2.932483,0.489691,
201605,1.333587,2.481529,0.487932,
201606,1.614900,2.709424,0.658835,
201607,2.172242,2.963797,0.665188,
201608,2.135009,3.105009,0.580738,
201609,1.835116,2.796592,0.609377,
201610,2.089529,2.698613,0.719338,
201611,2.260107,3.032122,0.743920,
201612,2.642887,3.990886,1.074193,
201701,2.779798,3.300565,1.232506,
201702,2.419621,2.803134,0.848595,
201703,1.984428,2.818922,0.639380,
201704,1.656578,2.635896,0.554061,
201705,1.651118,2.603809,0.614053,
201706,1.907453,2.812564,0.761955,
201707,2.374044,3.096148,0.787869,
201708,2.172973,3.152117,0.816569,
201709,1.859936,2.736071,0.720298,
201710,2.312035,2.738041,0.695705,
201711,2.568449,2.930491,0.909174,
201712,2.332885,3.404168,0.955916,
201801,2.677272,2.979025,0.928526,
201802,2.160381,2.775614,0.800454,
201803,1.524671,2.728567,0.632453,
201804,1.075441,2.496980,0.562686,
201805,1.777071,2.493759,0.612134,
201806,2.145266,2.740022,0.661677,
201807,2.621459,3.078155,0.739733,
201808,2.442752,3.058178,0.701368,
201809,1.872424,2.655121,0.750721,
201810,1.673750,2.664989,0.803674,
201811,2.199598,2.748951,0.817789,
201812,2.680948,3.417357,1.060530,
201901,2.357445,3.178139,1.297557,
201902,1.593500,2.694284,0.943665,
201903,1.649483,2.642102,0.727844,
201904,1.549693,2.732010,0.680974,
201905,1.223752,2.624257,0.617205,
201906,1.441447,2.723056,0.755324,
201907,1.429970,3.048555,0.935143,
201908,1.428455,3.013268,0.856101,
201909,0.980232,2.691019,0.825078,
201910,1.085651,2.696498,0.779022,
201911,1.383467,2.620568,0.730429,
201912,1.755736,3.254990,0.849830,
202001,1.936815,3.082449,0.998432,
202002,1.538230,2.769214,0.817763,
202003,0.915645,2.554293,0.781105,
202004,0.666109,2.651397,0.492018,
202005,0.423079,2.542936,0.457148,
202006,0.368387,2.174564,0.838834,
202007,0.506907,2.762011,0.896452,
202008,0.572463,2.554973,0.847041,
202009,0.500823,2.539575,0.946775,
202010,0.498531,2.488448,1.228422,
202011,0.948356,2.293350,1.538808,
202012,1.253527,2.599031,1.200214,
202101,1.373937,2.324710,1.209116,
202102,0.868314,2.467894,0.871942,
202103,1.036582,2.419260,1.042523,
202104,0.750646,2.382327,1.051212,
202105,0.634578,2.215707,0.773784,
202106,0.417877,2.625787,1.031817,
202107,0.686738,3.010334,1.177644,
202108,0.944340,3.045463,1.110301,
202109,0.610931,2.766470,0.998439,
202110,0.599873,2.774665,0.949118,
202111,0.535760,2.774587,0.990168,
202112,0.791395,3.473022,1.157266,
202201,1.204334,3.021627,1.158674,
202202,0.631340,2.890588,1.003401,
202203,1.036295,2.745496,1.270679,
202204,0.288800,2.468980,0.597182,
202205,0.320837,2.545808,0.690106,
202206,0.775151,2.742545,0.840232,
202207,1.086271,3.084410,1.058181,
202208,1.108436,3.261165,0.967905,
202209,0.610080,3.023571,0.642478,
202210,0.443159,3.032680,0.489571,
202211,0.570497,3.146588,0.707517,
202212,0.833476,3.419215,0.940833,
202301,0.579795,2.395167,0.755797,
202302,0.869395,2.771563,0.785876,
202303,0.644966,2.695801,0.730817,
202304,0.402878,2.672443,0.713527,
202305,0.355495,2.777719,0.586599,
202306,0.315384,3.003467,0.779746,
202307,0.792088,3.376028,0.968998,
202308,0.485882,3.363311,0.839541,
202309,0.210716,3.034688,0.797694,
202310,0.407064,3.045836,0.810356,
202311,0.566045,2.951096,0.674884,
202312,0.759372,3.272837,0.896240,
202401,0.569561,2.935486,1.098571,
202402,0.565632,2.654684,0.897309,
202403,0.493223,2.610970,0.985924,
202404,0.356325,2.675204,0.785498,
202405,0.154869,2.734633,0.933002,
202406,0.244641,2.954415,1.005569,
202407,0.509469,3.290774,1.160473,
202408,0.336088,3.313364,1.042444,
202409,0.191620,2.955374,0.901854,
202410,0.151808,3.018667,0.898359,
202411,0.528377,3.026026,1.232339,
202412,0.614682,3.068607,1.318521,
202501,0.635548,2.822998,1.405361,
202502,0.677386,2.899617,1.437255,
202503,0.300882,,0.987143,
202504,0.259661,,,
202505,,,,
202506,,,,
202507,,,,
202508,,,,
202509,,,,
202510,,,,
202511,,,,
202512,,,,
