"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,5.615353,2.153859,3.795798
1991,5.786886,2.272237,4.317203
1992,6.043463,2.360953,4.304301
1993,6.169932,2.340703,4.431879
1994,6.249051,2.376326,4.466500
1995,6.507516,2.381865,4.610686
1996,6.972897,2.439766,4.734160
1997,7.247269,2.464435,4.759718
1998,7.618029,2.519023,5.040399
1999,7.851598,2.473307,5.091986
2000,8.079276,2.442846,5.046179
2001,8.424030,2.419088,5.032716
2002,8.847449,2.467695,5.108076
2003,9.346537,2.526915,5.552538
2004,9.644103,2.475253,5.421237
2005,10.175133,2.474573,5.359789
2006,10.509499,2.463228,5.522782
2007,11.060016,2.591115,5.616056
2008,10.779881,2.541459,5.465731
2009,11.208359,2.392952,7.019350
2010,10.066049,2.379064,5.939235
2011,9.551078,2.041257,5.131256
2012,7.934394,1.660565,3.797216
2013,7.409284,1.900861,4.307370
2014,6.928047,2.240303,4.373688
2015,7.163158,2.772915,3.914748
2016,7.224199,2.829145,4.033679
2017,7.171909,2.660647,4.018458
2018,7.106949,2.602527,4.148753
2019,7.178436,2.641624,4.464746
2020,5.918004,2.599153,4.031428
2021,6.702123,2.767844,4.119897
2022,7.058749,2.939035,4.531640
2023,7.138021,2.887483,4.058259
