"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-152.316827,0.591699,0,0,0.320027,7.716757,0,0
1991,-152.383159,0.591699,0,0,0.320027,7.716757,0,0
1992,-152.449491,0.591699,0,0,0.320027,7.716757,0,0
1993,-152.515832,0.591699,0,0,0.320027,7.716757,0,0
1994,-152.582164,0.591699,0,0,0.320027,7.716757,0,0
1995,-152.648504,0.591699,0,0,0.320027,7.716757,0,0
1996,-152.714836,0.591699,0,0,0.320027,7.716757,0,0
1997,-152.781168,0.591699,0,0,0.320027,7.716757,0,0
1998,-152.847509,0.591699,0,0,0.320027,7.716757,0,0
1999,-152.913841,0.591699,0,0,0.320027,7.716757,0,0
2000,-152.980181,0.591699,0,0,0.320027,7.716757,0,0
2001,-153.046513,0.591699,0,0,0.320027,7.716757,0,0
2002,-153.112845,0.591699,0,0,0.320027,7.716757,0,0
2003,-153.179186,0.591699,0,0,0.320027,7.716757,0,0
2004,-153.245518,0.591699,0,0,0.320027,7.716757,0,0
2005,-153.311858,0.591699,0,0,0.320027,7.716757,0,0
2006,-153.378190,0.591699,0,0,0.320027,7.716757,0,0
2007,-153.444522,0.591699,0,0,0.320027,7.716757,0,0
2008,-153.510863,0.591699,0,0,0.320027,7.716757,0,0
2009,-153.577195,0.591699,0,0,0.320027,7.716757,0,0
2010,-153.643535,0.591699,0,0,0.320027,7.716757,0,0
2011,-153.709867,0.591699,0,0,0.320027,7.716757,0,0
2012,-154.645747,1.034743,0,0,0.385843,14.365340,0,0
2013,-154.395241,1.016959,0,0,0.730657,12.109203,0,0
2014,-153.376587,1.453366,0,0,0.437360,10.969567,0,0
2015,-152.524409,0.967019,0,0,0.565620,7.130127,0,0
2016,-153.446906,0.967019,0,0,0.565620,7.130127,0,0
2017,-154.274057,1.075809,0,0,0.451037,7.823970,0,0
2018,-150.858606,1.050925,0,0,0.452063,8.015333,0,0
2019,-144.928392,0.750018,0,0,0.315407,6.119777,0,0
2020,-147.929307,1.156107,0,0,0.376237,6.783260,0,0
2021,-150.820463,0.674612,0,0,0.473110,7.175300,0,0
2022,-148.857530,0.484718,0,0,0.457893,5.534467,0,0
