"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,25.098290,22.885220,4.914102,2.518666,1.128339,-6.348036
1991,17.390238,16.999432,4.755342,2.383856,0.777344,-7.525736
1992,15.439184,16.379164,4.259107,2.398515,0.011021,-7.608624
1993,15.286229,16.811040,4.162691,2.044912,0.011138,-7.743552
1994,14.063656,16.054554,3.959933,2.085621,0.011955,-8.048406
1995,14.240267,16.814489,3.920801,2.015868,0.033878,-8.544769
1996,15.100603,17.338434,3.882786,2.017078,0.037212,-8.174906
1997,17.090826,18.569168,3.854040,2.191669,0.040824,-7.564874
1998,17.462083,19.040027,3.824754,1.879905,0.047285,-7.329889
1999,17.915391,20.082224,3.875664,2.087181,0.054240,-8.183919
2000,19.124834,19.652682,3.817184,2.192286,0.062118,-6.599435
2001,18.944423,20.775935,3.893409,2.156910,0.073251,-7.955082
2002,19.741226,21.915519,3.894070,2.085726,0.093981,-8.248072
2003,22.048034,23.226189,4.068391,2.002912,0.120316,-7.369775
2004,21.619643,22.852690,4.159950,2.210958,0.141813,-7.745767
2005,21.855504,23.295552,4.169885,2.172622,0.201192,-7.983747
2006,22.428955,23.496198,4.280020,2.183471,0.256423,-7.787156
2007,25.045519,24.801759,4.283900,2.226619,0.332767,-6.599526
2008,23.864734,23.515656,4.288623,2.493940,0.402069,-6.835553
2009,21.594370,21.752317,4.379669,1.928425,0.479572,-6.945613
2010,21.248166,20.978134,4.442236,2.151506,0.574016,-6.897726
2011,22.261575,20.614659,4.410262,2.201611,0.636469,-5.601427
2012,20.995216,19.050020,4.369045,1.999942,0.710520,-5.134312
2013,18.765615,18.401343,4.264069,1.479020,0.772206,-6.151022
2014,18.170227,17.649938,4.225990,1.445875,0.858138,-6.009714
2015,18.943780,17.793891,4.322405,1.568930,0.950019,-5.691465
2016,19.101034,18.079279,4.301573,1.342787,1.086635,-5.709240
2017,20.842196,18.713125,4.270278,1.448895,1.232568,-4.822668
2018,19.047712,17.694512,4.086296,1.408722,1.358875,-5.500693
2019,18.963698,17.820422,3.995247,1.411605,1.474848,-5.738425
2020,18.198351,16.870105,3.929042,1.446766,1.581586,-5.629148
2021,18.554671,17.402971,3.787290,1.439344,1.706634,-5.781569
2022,19.573300,17.585164,3.720625,1.314849,1.822053,-4.869392
2023,19.773879,18.467478,3.611551,1.324077,1.939441,-5.568668
2024,20.869886,18.253222,3.596633,1.367126,2.058439,-4.405533
