"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,178.785713,33.317307,0.373839,100.997679,44.047671,0.049217
1991,173.250442,31.349593,0.349729,96.739370,44.684451,0.127300
1992,155.360779,32.760657,0.302910,76.557019,45.134218,0.605974
1993,152.872071,28.728568,0.249828,77.032700,45.485266,1.375710
1994,144.773588,26.161463,0.261059,71.622212,46.268653,0.460201
1995,143.073487,26.801526,0.233938,68.829447,46.906787,0.301790
1996,142.104668,28.092116,0.207017,65.677946,47.466319,0.661270
1997,141.164952,26.776012,0.220295,64.924194,48.539347,0.705103
1998,141.259429,26.295305,0.195582,63.837401,49.126633,1.804508
1999,141.839523,25.355229,0.197855,65.582536,50.467456,0.236447
2000,143.278500,23.350961,0.136088,64.218620,51.696486,3.876344
2001,143.026055,24.916583,0.140737,65.311564,51.897342,0.759829
2002,142.667995,24.536726,0.130926,64.705920,53.038628,0.255794
2003,150.487552,26.559141,0.124625,68.061255,54.160486,1.582045
2004,152.691264,26.031160,0.149658,70.714900,55.678863,0.116684
2005,152.727253,26.795088,0.150789,70.722405,54.949557,0.109414
2006,157.366571,26.155028,0.146472,72.962821,57.859907,0.242344
2007,158.374114,26.027793,0.136314,70.276966,60.662466,1.270575
2008,157.306887,25.521091,0.129135,66.813254,64.460209,0.383198
2009,160.723851,25.709318,0.116391,67.741351,66.952966,0.203825
2010,162.990756,26.733439,0.108813,67.291339,68.786760,0.070406
2011,162.466800,25.476140,0.069969,65.642083,70.533484,0.745124
2012,161.698175,24.056626,,65.377673,70.708633,1.555242
2013,156.281703,23.517123,,62.447445,70.240028,0.077107
2014,154.910375,21.139846,,61.852814,71.904856,0.012859
2015,158.954864,23.478143,,61.229742,73.688415,0.558564
2016,157.817284,23.130731,,60.703800,73.626097,0.356656
2017,158.919621,22.741198,,59.981299,73.427758,2.769367
2018,149.282765,21.479592,,56.139544,71.611578,0.052051
2019,146.641734,20.715047,,55.758121,70.057528,0.111039
2020,143.917451,20.362179,,54.094524,68.159513,1.301235
2021,138.584454,21.297803,,53.607395,63.446065,0.233191
2022,136.971933,19.589515,,50.401654,65.654088,1.326676
2023,131.683243,19.022704,,47.833272,64.771680,0.055587
