"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,70.112940,64.808777,8.136659,0.384747,0.096879,-3.314122
1991,67.361650,63.448128,6.005466,0.274198,0.096879,-2.463021
1992,59.285512,56.833211,5.114040,0.236611,0.096879,-2.995230
1993,57.381956,57.206327,5.492713,0.195445,0.096879,-5.609409
1994,55.631683,55.317801,6.306773,0.158901,0.096879,-6.248671
1995,55.200039,54.756345,6.494341,0.116757,0.096879,-6.264284
1996,60.462453,56.591201,6.290093,0.105129,0.096879,-2.620849
1997,58.594664,55.786944,5.689344,0.095310,0.096879,-3.073813
1998,57.098083,55.603338,5.451806,0.096007,0.096879,-4.149947
1999,59.667353,55.958760,5.416248,0.094673,0.096879,-1.899207
2000,57.188663,52.257739,5.776788,0.104202,0.096879,-1.046944
2001,57.136391,54.094881,5.519504,0.108179,0.096879,-2.683052
2002,56.841310,53.097510,5.524034,0.116783,0.096879,-1.993895
2003,57.225976,55.875923,5.504630,0.127159,0.096879,-4.378615
2004,56.561966,54.120584,5.609820,0.151425,0.096879,-3.416742
2005,54.187836,53.771360,6.130044,0.142262,0.098350,-5.954179
2006,55.529720,53.157793,6.132917,0.143578,0.094302,-3.998870
2007,54.130833,51.873973,6.303817,0.149111,0.114254,-4.310322
2008,51.167082,51.121711,5.866698,0.090748,0.102338,-6.014412
2009,46.850918,46.419973,4.832563,0.098048,0.102518,-4.602183
2010,47.273036,46.844364,4.924630,0.105820,0.109477,-4.711254
2011,45.978362,44.975668,4.966331,0.129434,0.077102,-4.170172
2012,41.825109,41.882876,4.609467,0.142290,0.079571,-4.889095
2013,39.411437,39.352748,3.877654,0.174007,0.074490,-4.067462
2014,38.485499,39.018412,4.366942,0.168914,0.080356,-5.149125
2015,40.771314,41.523798,4.809707,0.202833,0.027326,-5.792351
2016,42.323829,42.355193,4.452028,0.208976,0.017616,-4.709985
2017,43.611482,43.994284,5.181214,0.222992,0.026056,-5.813065
2018,44.317781,43.789337,5.335817,0.213643,0.028619,-5.049635
2019,43.486590,43.722097,5.190234,0.216823,0.030697,-5.673262
2020,40.011127,41.717296,5.123341,0.240148,0.025310,-7.094969
2021,41.041086,43.165878,4.900378,0.236125,0.024701,-7.285997
2022,40.002324,41.278959,3.760798,0.212342,0.013994,-5.263769
2023,34.924892,36.740510,3.410887,0.171434,0.014702,-5.412641
2024,33.079983,35.929244,3.340676,0.196699,0.015735,-6.402371
