"Year","Hungary","World"
1950,1.733285,2.378734
1951,1.943434,2.515504
1952,2.340884,2.502896
1953,2.669361,2.524970
1954,2.803107,2.527923
1955,2.960785,2.716614
1956,2.635736,2.835461
1957,2.548779,2.869636
1958,2.897350,2.891376
1959,3.044538,2.985590
1960,3.204097,3.112931
1961,3.431472,3.071906
1962,3.524967,3.120741
1963,3.778291,3.215595
1964,3.927565,3.315825
1965,3.972943,3.391959
1966,3.935327,3.484865
1967,3.679134,3.523155
1968,3.842277,3.640223
1969,3.848604,3.802135
1970,4.008591,4.032588
1971,4.029081,4.112597
1972,3.937124,4.219747
1973,4.165067,4.355556
1974,4.111283,4.253289
1975,4.048323,4.173319
1976,4.261889,4.310191
1977,4.381651,4.352449
1978,4.565141,4.432504
1979,4.439322,4.465701
1980,4.394822,4.364099
1981,4.466936,4.168842
1982,4.603124,4.060496
1983,4.472588,4.023942
1984,4.473974,4.068703
1985,4.339123,4.137420
1986,4.143924,4.122175
1987,4.122249,4.179654
1988,3.796939,4.262697
1989,3.716637,4.241189
1990,3.301273,4.266701
1991,3.225074,4.282473
1992,2.998002,4.090168
1993,2.809967,4.068620
1994,2.696392,4.047994
1995,2.827799,4.083544
1996,2.835578,4.148108
1997,2.812805,4.114970
1998,2.562621,4.044522
1999,2.375196,4.079117
2000,2.289438,4.133621
2001,2.150696,4.107635
2002,2.117383,4.144280
2003,2.144198,4.307030
2004,1.876791,4.399256
2005,1.602866,4.493561
2006,1.606085,4.585831
2007,1.487735,4.661509
2008,1.468808,4.682571
2009,1.471171,4.545518
2010,1.442540,4.744937
2011,1.404380,4.848876
2012,1.333177,4.854014
2013,1.243271,4.837742
2014,1.200871,4.804597
2015,1.168415,4.739116
2016,1.199870,4.682487
2017,1.142816,4.705259
2018,1.118968,4.752195
2019,1.043860,4.747814
2020,0.982142,4.457744
2021,0.905477,4.634748
2022,0.905339,4.678452
2023,0.890781,4.707772
2024,0.938589,4.729075
