"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,,,,0.151000,0.068000,0.002700
1962,,,,0.160900,0.066300,0.004600
1963,,,,0.161600,0.078600,0.004000
1964,,,,0.173100,0.105600,0.004600
1965,,,,0.173700,0.142500,0.011200
1966,,,,0.192300,0.131200,0.015600
1967,,,,0.196300,0.133800,0.018600
1968,,,,0.215500,0.140800,0.018800
1969,,,,0.250600,0.181800,0.054100
1970,,,,0.258700,0.249100,0.052200
1971,,,,0.269100,0.235700,0.074700
1972,,,,0.289700,0.252100,0.075700
1973,,,,0.318700,0.265000,0.076200
1974,,,,0.333000,0.306700,0.065600
1975,,,,0.343000,0.305200,0.046600
1976,,,,0.371000,0.300700,0.061600
1977,,,,0.424000,0.312100,0.097400
1978,,,,0.444000,0.289200,0.063800
1979,,,,0.436000,0.278700,0.085300
1980,,,,0.440000,0.314000,0.078000
1981,,,,0.457000,0.296400,0.079400
1982,,,,0.461000,0.277200,0.071800
1983,,,,0.479000,0.339000,0.142600
1984,,,,0.506000,0.287500,0.101300
1985,0.494000,0.273500,0.077000,0.494000,0.273500,0.084900
1986,0.517000,0.287200,0.086400,0.517000,0.287200,0.086400
1987,0.522000,0.274200,0.093100,0.522000,0.274200,0.093100
1988,0.535000,0.275000,0.087000,0.535000,0.275000,0.092500
1989,0.504000,0.265000,0.087000,0.504000,0.265000,0.092500
1990,0.443000,0.259600,0.078000,0.443000,0.259600,0.092500
1991,0.362000,0.230000,0.057000,0.364000,0.230000,0.059500
1992,0.348000,0.141470,0.050480,0.348000,0.141478,0.052983
1993,0.295000,0.208720,0.028260,0.292000,0.208721,0.030761
1994,0.326000,0.290000,0.046000,0.328000,0.290000,0.046000
1995,0.316000,0.392900,0.085700,0.321000,0.266500,0.078500
1996,0.359000,0.419100,0.105300,0.363000,0.288000,0.129000
1997,0.408000,0.417790,0.152400,0.820000,0.363000,0.181000
1998,0.434000,0.420000,0.186600,0.482000,0.420000,0.186600
1999,0.454000,0.435600,0.232590,0.473000,0.435600,0.232600
2000,0.503000,0.495300,0.229700,0.506000,0.495300,0.229700
2001,0.501000,0.541000,0.250000,0.495000,0.541000,0.250000
2002,0.517000,0.431830,0.318910,0.517000,0.431830,0.318920
2003,0.546000,0.618000,0.221000,0.546000,0.618000,0.221000
2004,0.579000,0.664000,0.435000,0.579000,0.664000,0.435000
2005,0.571000,0.689350,0.420710,0.571000,0.689351,0.420719
2006,0.542453,0.729000,0.460050,0.553000,0.729000,0.460053
2007,0.547552,0.808000,0.494670,0.552000,0.808000,0.494671
2008,0.431943,0.852600,0.214120,0.424000,0.852600,0.214129
2009,0.462374,0.697260,0.452560,0.461000,0.697267,0.452569
2010,0.662021,0.799930,0.609850,0.640000,0.799938,0.609853
2011,0.712526,0.766190,0.580630,0.744000,0.766197,0.580631
2012,0.737012,0.778320,0.615420,0.641000,0.778324,0.615424
2013,0.774978,0.778135,0.653729,0.710632,0.778135,0.653729
2014,0.800550,0.806620,0.704379,0.765000,0.810407,0.704620
2015,0.792801,0.818482,0.748332,0.792801,0.818482,0.748333
2016,0.822639,0.833222,0.728746,0.822639,0.833221,0.728745
2017,0.852467,0.866343,0.762536,0.852467,0.866343,0.762538
2018,0.846279,0.850890,0.742776,0.843928,0.850889,0.742776
2019,0.873411,0.862748,0.787299,0.873411,0.862747,0.787298
2020,0.863605,0.840938,0.776869,0.771684,0.840938,0.776870
2021,0.867013,0.916473,0.730432,0.783251,0.916474,0.730433
2022,1.056693,0.876772,0.720197,0.863605,0.866355,0.760672
2023,,,,0.863605,0.862959,0.737193
