"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-3.290597,0.131071,-0.174811,-0.072578,-0.077408,0.061579
1991,-2.636427,0.125562,-0.234224,-0.082765,-0.090998,0.061579
1992,-3.228232,0.134863,-0.256057,-0.093603,-0.105456,0.061579
1993,-5.706267,0.058237,-0.284023,-0.098499,-0.115787,0.061579
1994,-6.106701,0.050280,-0.284018,-0.102863,-0.124163,0.061579
1995,-5.904449,0.074147,-0.328801,-0.109209,-0.135605,0.061579
1996,-2.008351,0.111966,-0.267377,-0.119245,-0.148153,0.061579
1997,-2.391850,0.139662,-0.276504,-0.131876,-0.161891,0.061579
1998,-3.388867,0.136135,-0.253141,-0.144332,-0.174313,0.061579
1999,-1.158893,0.147345,-0.243954,-0.157551,-0.190299,0.061579
2000,-0.849683,0.752035,-0.193199,-0.172415,-0.206155,0.061579
2001,-1.914884,0.209578,-0.245436,-0.192361,-0.225935,0.061579
2002,-1.212595,0.236859,-0.224144,-0.214878,-0.248240,0.061579
2003,-3.553342,0.190603,-0.221498,-0.233120,-0.265155,0.061579
2004,-2.503823,0.123538,-0.225548,-0.244619,-0.278608,0.061579
2005,-4.769731,0.118414,-0.221866,-0.244221,-0.276994,0.061579
2006,-2.552167,0.222248,-0.256180,-0.253405,-0.284841,0.061579
2007,-2.808985,0.313697,-0.246389,-0.269480,-0.291433,0.061579
2008,-4.196109,0.125722,-0.257551,-0.267448,-0.290619,0.061579
2009,-3.214590,0.064447,-0.249610,-0.261393,-0.284946,0.061579
2010,-3.150322,0.105914,-0.240913,-0.261027,-0.280146,0.061579
2011,-2.964945,0.031543,-0.239303,-0.253480,-0.271511,0.061579
2012,-3.834883,0.023775,-0.262728,-0.244510,-0.262831,0.061579
2013,-3.121653,0.016253,-0.241881,-0.240734,-0.257062,0.061579
2014,-4.158383,0.023313,-0.248977,-0.238657,-0.253183,0.061579
2015,-5.016085,0.003886,-0.303810,-0.232223,-0.242764,0.061579
2016,-4.220472,0.004614,-0.225948,-0.221959,-0.230850,0.061579
2017,-4.813492,0.025031,-0.254067,-0.211508,-0.218742,0.061579
2018,-4.063330,0.029768,-0.186944,-0.201884,-0.207833,0.061579
2019,-4.707111,0.029874,-0.211207,-0.191439,-0.193361,0.061579
2020,-6.308285,0.070746,-0.228766,-0.183224,-0.181096,0.061579
2021,-6.301037,0.134152,-0.224184,-0.175613,-0.167929,0.061579
2022,-4.396562,0.167129,-0.202118,-0.168177,-0.153913,0.061579
2023,-4.998523,0.080011,-0.196721,-0.156824,-0.140901,0.061579
2024,-5.969536,0.051054,-0.254902,-0.149981,-0.130028,0.061579
