"YYYYMM","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
200801,1.164742,1.316651,3.502874,
200802,1.019721,1.333304,2.905309,
200803,0.961260,1.408390,2.682083,
200804,1.095614,1.502174,1.956940,
200805,0.966495,1.502170,1.320462,
200806,1.083593,1.352672,1.205480,
200807,1.253828,1.492702,1.202160,
200808,1.075564,1.437124,1.093867,
200809,1.072073,1.464773,1.454876,
200810,1.179637,1.586939,1.899962,
200811,0.939988,1.478776,2.375269,
200812,1.217539,1.396873,2.953988,
200901,0.887691,1.396368,3.342623,
200902,0.878992,1.190832,2.768781,
200903,0.880919,1.457098,2.432324,
200904,0.897140,1.482362,1.190411,
200905,0.925214,1.361277,0.989192,
200906,0.933288,1.433222,0.848254,
200907,1.075242,1.462509,0.833171,
200908,0.870961,1.328798,0.816979,
200909,0.901047,1.557203,0.938800,
200910,0.996640,1.535787,1.817421,
200911,0.977329,1.493727,2.321500,
200912,0.945551,1.514266,3.028160,
201001,1.893575,0.986044,3.498482,
201002,0.158988,1.053515,2.934905,
201003,0.940138,1.354125,2.511821,
201004,0.703706,1.336803,1.559346,
201005,0.969484,1.252750,1.111638,
201006,0.768848,1.370727,0.926098,
201007,0.844321,1.446024,0.847718,
201008,0.929398,1.469351,0.809979,
201009,1.092157,1.391549,1.083359,
201010,1.020323,1.545986,2.007555,
201011,1.167266,1.478835,2.188591,
201012,1.161962,1.323502,3.346726,
201101,1.092794,1.196821,3.278522,
201102,0.995450,1.088453,2.967654,
201103,1.079374,1.242571,2.445808,
201104,0.809015,1.253217,1.391999,
201105,0.939248,1.111623,1.085599,
201106,1.061524,1.212036,0.900866,
201107,0.923345,1.283499,0.873030,
201108,1.052865,1.368892,0.842369,
201109,1.014046,1.363808,1.004351,
201110,0.922939,1.460402,1.651459,
201111,0.960348,1.212699,2.623300,
201112,1.080089,1.266811,2.766691,
201201,1.186348,1.088277,2.819305,
201202,0.777268,1.032696,3.294593,
201203,0.847707,1.220443,1.900418,
201204,0.729930,0.951381,1.352494,
201205,0.805231,1.253596,0.935540,
201206,1.056103,1.199311,0.811967,
201207,0.913279,1.304482,0.842481,
201208,0.925668,1.270339,0.785616,
201209,1.105035,1.279109,0.863541,
201210,0.978007,1.394053,1.354650,
201211,0.987409,1.252239,1.846150,
201212,1.118883,1.129059,2.722327,
201301,0.981673,1.097929,2.924007,
201302,0.851886,1.052049,2.383987,
201303,0.910403,1.065588,2.224259,
201304,0.627764,1.219415,1.303021,
201305,0.855413,1.177311,0.785577,
201306,0.711661,1.134280,0.735283,
201307,0.872904,1.153042,0.702679,
201308,0.733984,1.185184,0.670384,
201309,0.814534,1.169289,0.861481,
201310,0.975113,1.325253,1.348687,
201311,0.895277,1.223505,1.815477,
201312,0.891527,1.042298,2.550657,
201401,0.796867,1.055331,2.466856,
201402,0.814225,1.035443,2.081664,
201403,0.902141,1.223532,1.627317,
201404,0.524551,1.279705,1.196879,
201405,0.767457,1.217222,0.907381,
201406,0.765581,1.249143,0.718149,
201407,0.867956,1.448031,0.786937,
201408,0.854947,1.248263,0.674953,
201409,0.942162,1.360017,0.861768,
201410,1.027088,1.454799,1.385639,
201411,0.964376,1.379611,1.937730,
201412,0.921015,1.246774,2.413413,
201501,0.974037,1.179784,2.651326,
201502,0.846906,1.213373,2.339929,
201503,1.045286,1.253508,1.965509,
201504,0.674838,1.522209,1.338315,
201505,0.770983,1.270149,0.808825,
201506,0.725208,1.316662,0.700695,
201507,0.715402,1.520719,0.770215,
201508,0.857941,1.389168,0.739305,
201509,0.938931,1.495167,0.778282,
201510,0.932657,1.552671,1.618750,
201511,0.984133,1.470024,2.026960,
201512,1.015782,1.356898,2.431137,
201601,0.911874,1.131781,3.017268,
201602,0.775226,1.230595,2.123640,
201603,0.879571,1.360677,1.982481,
201604,0.561210,1.331022,1.179513,
201605,0.611872,1.351616,0.965629,
201606,0.675233,1.443852,0.765650,
201607,0.888694,1.489398,0.778313,
201608,0.913291,1.552766,0.782448,
201609,0.818989,1.463496,0.857292,
201610,0.832790,1.310944,1.670804,
201611,0.926952,1.465536,2.244848,
201612,0.943804,1.455097,2.938755,
201701,0.819292,1.320578,3.571317,
201702,0.846881,1.176609,2.439402,
201703,1.007503,1.459868,1.766565,
201704,0.645505,1.348818,1.490666,
201705,0.510579,1.479737,0.965800,
201706,0.533896,1.462932,0.852418,
201707,1.005268,1.519988,0.856633,
201708,0.839384,1.591649,0.871590,
201709,0.921268,1.496147,1.021823,
201710,0.951157,1.664669,1.572438,
201711,0.982659,1.438290,2.295439,
201712,0.949312,1.522988,2.715507,
201801,0.699183,1.516062,2.708349,
201802,0.671633,1.343614,2.764774,
201803,0.741132,1.523830,2.573979,
201804,0.659767,1.354630,1.111408,
201805,0.639201,1.659258,0.834328,
201806,0.633257,1.585897,0.792833,
201807,0.785844,1.703365,0.832269,
201808,0.785967,1.548093,0.739600,
201809,0.797767,1.605492,0.952121,
201810,0.905473,1.643171,1.425401,
201811,0.833586,1.563517,2.077223,
201812,1.262939,1.520938,2.969623,
201901,0.682107,1.514597,3.254055,
201902,0.668129,1.367629,2.370331,
201903,0.782125,1.576499,1.917545,
201904,0.677740,1.718334,1.365218,
201905,0.572343,1.535991,1.239103,
201906,0.550097,1.606221,0.742720,
201907,0.734469,1.814420,0.808521,
201908,0.601302,1.728341,0.872087,
201909,0.699762,1.651897,1.061057,
201910,0.733572,1.790905,1.584167,
201911,0.750360,1.596340,2.002503,
201912,0.709136,1.478196,2.691362,
202001,0.659275,1.340156,3.268134,
202002,0.648068,1.390557,2.456946,
202003,0.715204,1.368902,2.213319,
202004,0.511006,1.231933,1.370223,
202005,0.488559,1.438091,1.021681,
202006,0.499477,1.444221,0.852184,
202007,0.587117,1.548168,0.904003,
202008,0.633131,1.467591,0.847793,
202009,0.689342,1.556375,0.994572,
202010,0.684096,1.573980,1.737399,
202011,0.646539,1.577597,2.435555,
202012,0.643839,1.400761,2.683777,
202101,0.488058,1.239458,3.035696,
202102,0.443641,1.300120,2.614710,
202103,0.481117,1.429851,2.421836,
202104,0.448023,1.479376,1.875490,
202105,0.427032,1.503576,1.242655,
202106,0.476559,1.660495,0.839467,
202107,0.510187,1.753484,0.872866,
202108,0.558660,1.674175,0.866165,
202109,0.524712,1.733520,0.922785,
202110,0.542177,1.771252,1.858560,
202111,0.503258,1.627076,2.462805,
202112,0.536965,1.567866,3.054621,
202201,0.560263,1.417846,2.914144,
202202,0.488164,1.514409,2.454650,
202203,0.497558,1.881612,2.371998,
202204,0.506736,1.593696,1.673704,
202205,0.459987,1.731124,0.850379,
202206,0.483695,1.696292,0.819159,
202207,0.415971,1.655728,0.796272,
202208,0.478429,1.687745,0.685230,
202209,0.404722,1.498747,1.044638,
202210,0.536660,1.607615,1.085681,
202211,0.352418,1.390890,1.815657,
202212,0.360396,1.439527,2.339442,
202301,0.294343,1.263664,2.228299,
202302,0.325307,1.252474,2.164581,
202303,0.413515,1.504052,1.795857,
202304,0.426014,1.402345,1.428368,
202305,0.314434,1.577549,0.909663,
202306,0.344072,1.496883,0.761947,
202307,0.295295,1.679332,0.781094,
202308,0.254168,1.574351,0.713875,
202309,0.257770,1.596682,0.769925,
202310,0.252997,1.594767,1.142968,
202311,0.276207,1.597289,1.840377,
202312,0.327826,1.604745,2.331958,
202401,0.263867,1.262696,2.573347,
202402,0.277237,1.340372,1.750049,
202403,0.250561,1.467762,1.653287,
202404,0.234975,1.546075,1.128664,
202405,0.248526,1.626083,0.841125,
202406,0.256335,1.558816,0.720000,
202407,0.268902,1.726496,0.712035,
202408,0.260922,1.517459,0.697457,
202409,0.230270,1.540614,0.849393,
202410,0.260645,1.718797,1.354098,
202411,0.250443,1.604917,2.187387,
202412,0.259299,1.422302,2.493416,
202501,0.189236,1.292095,2.627235,
202502,0.175688,1.326547,2.510195,
202503,0.103288,,1.840892,
202504,0.065449,,,
202505,,,,
202506,,,,
202507,,,,
202508,,,,
202509,,,,
202510,,,,
202511,,,,
202512,,,,
