"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1985,85.227637,,85.566313,86.401868,86.786817,86.961736,85.679148,86.108633,85.951554,86.087679,86.589682,86.712725,,,,,,,,,,,,
1986,83.312392,,84.228626,85.031492,85.398045,85.556374,84.288656,84.188795,83.983345,84.130535,84.655621,84.798451,84.411624,84.562922,84.864509,84.870970,84.869864,84.982188,84.690838,84.690873,84.832794,,,
1987,83.650390,,84.532578,85.355279,85.723315,85.883564,84.622653,84.517599,84.305411,84.516010,85.033930,85.151483,84.882383,85.038223,85.433788,85.440321,85.439201,85.570213,85.323799,85.323834,85.420465,,,
1988,,,80.326400,81.010081,81.375991,81.536837,80.373726,80.228830,79.953808,80.201618,80.716060,80.843455,80.638845,80.792337,81.358670,81.365710,81.363151,81.410321,81.013946,81.013981,81.267385,,,
1989,,,78.101700,78.766455,79.123669,79.269863,78.108996,78.009444,77.779724,78.025535,78.565799,78.713314,78.241844,78.386183,78.992336,78.999929,78.995341,79.016575,78.822047,78.822082,78.882170,,,
1990,71.824966,,72.277682,72.934153,73.190168,73.335195,72.470789,72.496230,72.237562,72.505094,73.155167,72.062259,72.984311,73.115199,73.447855,73.455459,73.444742,73.464854,73.225500,73.225536,73.376825,73.427365,73.427331,73.427062
1991,,,68.439763,69.018924,69.304104,69.411297,68.859661,68.930093,68.792015,69.032479,69.845000,68.476621,69.280054,69.392726,69.769825,69.777272,69.782142,69.784519,69.656214,69.656248,69.701938,69.824879,69.824897,69.824670
1992,,,61.973563,62.605728,62.866504,62.953414,62.578152,62.578297,62.484688,62.722754,63.459913,61.386800,61.936020,62.050126,62.402122,62.408845,62.420927,62.415942,62.084798,62.084832,62.348018,62.280751,62.280753,62.280741
1993,,,62.733492,63.443517,63.710677,63.803330,63.338310,63.346031,63.208917,63.452724,64.238032,62.364910,63.061408,63.174978,63.534087,63.539703,63.552788,63.632762,63.389238,63.389271,63.558409,62.991335,62.991353,62.991364
1994,,,61.595042,62.327715,62.597954,62.694225,62.145008,62.212205,62.123271,62.421813,63.105310,60.710560,61.450135,61.568375,61.876064,61.882727,61.897351,61.973512,61.786518,61.786556,61.888994,61.880355,61.880368,61.880354
1995,,,60.869650,61.655136,61.940320,62.045997,61.501841,61.434960,61.364082,61.681201,62.478240,60.811423,61.237575,61.354462,61.607782,61.612876,61.626795,61.690774,61.391277,61.391314,61.601111,61.464135,61.464127,61.464323
1996,,,62.219617,63.029475,63.289755,63.386359,62.781765,62.767077,62.704253,62.993132,63.787868,62.243944,62.829316,62.950253,63.169790,63.176983,63.187878,63.257520,63.024745,63.024782,63.158112,63.083043,63.083062,63.083301
1997,,,60.477703,61.305447,61.552581,61.648684,61.067353,61.045912,60.958724,61.293069,62.197127,61.288223,61.430059,61.549912,61.749201,61.755900,61.775002,61.813139,61.623522,61.623559,61.711716,61.675940,61.675956,61.668477
1998,,,60.138679,60.578163,60.790282,61.091262,60.476261,60.349690,60.224261,60.536402,61.419278,61.070110,60.968243,61.087764,61.340532,61.348290,61.357253,61.415001,61.163628,61.163666,61.312881,61.255407,61.255405,61.248030
1999,,,60.015372,60.498531,60.707556,60.986834,60.380212,60.353078,60.207437,60.479409,61.385080,61.264655,61.477384,61.593141,61.820997,61.828204,61.838737,61.911602,61.663704,61.663743,61.806189,61.575133,61.575155,61.566560
2000,59.008857,,57.803239,58.735066,58.931240,59.201801,58.491750,58.541685,58.417318,58.722973,59.468970,58.551684,58.217542,58.336807,58.544687,58.551661,58.559916,58.608275,58.365110,58.365151,58.505987,58.244415,58.244408,58.235607
2001,59.021835,,59.359789,60.260375,60.342727,60.612734,59.889407,60.157490,59.975841,60.165561,60.823554,59.607717,59.878108,59.995734,60.164694,60.171659,60.176054,60.238801,59.968172,59.968212,60.108985,59.827765,59.827754,59.819443
2002,,57.210525,57.703230,58.623032,58.761522,58.822209,58.496388,58.487588,58.292044,58.439148,59.238104,58.644329,58.851917,58.968228,59.155847,59.162844,59.179064,59.197005,59.004668,59.004707,59.086040,58.841990,58.841979,58.835205
