"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,736.225804,24.757659,,510.542303,55.209048,145.716794
1991,742.951580,24.040057,,516.856766,58.443965,143.610791
1992,749.200725,21.246824,,525.014343,60.980588,141.958970
1993,751.115682,20.922719,,525.244861,62.962705,141.985397
1994,748.530193,19.148213,,523.087898,64.791909,141.502173
1995,750.201979,17.957115,,524.677746,66.269439,141.297679
1996,759.579913,17.999402,,539.390562,61.419405,140.770544
1997,756.384672,16.425953,,551.066776,50.956750,137.935193
1998,764.292441,16.587709,,558.207258,53.278136,136.219338
1999,744.952796,14.163081,,542.311674,53.070439,135.407602
2000,722.481240,14.251041,,519.026205,53.289849,135.914146
2001,730.588166,14.416469,,516.131050,57.272717,142.767929
2002,716.406158,13.257165,,510.967707,60.429928,131.751359
2003,748.786872,39.487917,,509.488168,60.722540,139.088247
2004,706.717721,12.964558,,507.552607,50.744368,135.456187
2005,685.654750,13.012301,,493.216197,43.858672,135.567580
2006,677.887684,13.197323,,485.038090,45.284535,134.367737
2007,656.891563,13.313958,,483.025460,27.952664,132.599481
2008,644.171741,13.403820,,476.692922,22.501181,131.573818
2009,628.946801,13.393001,,469.053057,15.410752,131.089992
2010,630.456071,13.014487,,461.979790,15.186052,140.275742
2011,628.576507,11.795519,,464.611409,19.236012,132.933567
2012,632.946056,11.676499,,477.454847,15.799753,128.014957
2013,641.191951,11.984760,,478.774324,21.831260,128.601607
2014,661.626041,11.763895,,492.333683,28.841474,128.686989
2015,675.045924,11.888064,,505.493299,31.350802,126.313759
2016,688.785841,12.081277,,521.059960,31.646383,123.998221
2017,711.494019,11.119034,,536.268609,30.135311,133.971065
2018,699.106845,11.772123,,532.043441,28.614893,126.676388
2019,702.923736,10.863523,,539.215021,26.970673,125.874518
2020,707.483747,11.047342,,545.323285,26.292286,124.820834
2021,707.519644,10.362255,,546.451974,24.266821,126.438594
2022,708.506280,9.185777,,546.117454,25.786450,127.416600
2023,697.344759,8.484577,,533.949277,24.654058,130.256846
2024,681.956382,8.811765,,520.190357,24.395228,128.559032
