"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,1.778460,0.013502,0.306244,0.615734,0.842858,0.000122,,
1991,1.684766,0.015102,0.231933,0.622177,0.815416,0.000138,,
1992,1.830848,0.014104,0.290859,0.633546,0.891543,0.000796,,
1993,1.917772,0.014545,0.314435,0.636682,0.950669,0.001442,,
1994,1.881924,0.014403,0.295183,0.638071,0.934163,0.000103,,
1995,1.974558,0.015243,0.300575,0.648734,1.008388,0.001618,,
1996,2.030917,0.012280,0.345185,0.639442,1.033625,0.000385,,
1997,2.085155,0.007147,0.400019,0.655761,1.022190,0.000038,,
1998,2.061686,0.009185,0.371885,0.660017,1.015614,0.004986,,
1999,2.090212,0.006829,0.388608,0.684277,1.006120,0.004377,,
2000,2.030379,0.006528,0.337133,0.687055,0.995050,0.004613,,
2001,1.928398,0.006120,0.371640,0.697492,0.833334,0.019811,,
2002,2.034661,0.007005,0.380844,0.699359,0.924781,0.022672,,
2003,2.034708,0.005139,0.350570,0.791755,0.879939,0.007305,,
2004,2.146891,0.003299,0.351150,0.849382,0.916772,0.026289,,
2005,2.038435,0.003397,0.306411,0.856948,0.842836,0.028843,,
2006,2.091659,0.009289,0.298928,0.993312,0.763390,0.026740,,
2007,2.212249,0.025267,0.294194,1.029106,0.856864,0.006819,,
2008,2.045539,0.010404,0.266216,0.974593,0.787215,0.007110,,
2009,1.963795,0.007936,0.189457,0.939069,0.822504,0.004829,,
2010,1.831466,0.008551,0.142057,0.890911,0.776023,0.013923,,
2011,1.721138,0.006570,0.148197,0.858852,0.700618,0.006900,,
2012,1.680200,0.007846,0.136061,0.840103,0.696097,0.000092,,
2013,1.642953,0.004406,0.125156,0.854748,0.657881,0.000763,,
2014,1.620924,0.005120,0.091746,0.861176,0.660217,0.002666,,
2015,1.685530,0.004194,0.120921,0.890697,0.669530,0.000187,,
2016,1.676057,0.002366,0.128969,0.971340,0.573225,0.000156,,
2017,1.719935,0.002318,0.101920,1.025580,0.589948,0.000169,,
2018,1.750838,0.002358,0.094128,1.060562,0.593265,0.000525,,
2019,1.686332,0.004967,0.071622,1.062581,0.545479,0.001682,,
2020,1.484637,0.002619,0.054463,0.882832,0.544360,0.000364,,
2021,1.583396,0.003205,0.077920,0.900728,0.599002,0.002541,,
2022,1.628171,0.010486,0.131627,0.976032,0.509275,0.000751,,
2023,1.597033,0.010956,0.109745,0.960720,0.513836,0.001777,,
