"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,10.353686,2.221064,0.616624,0.382969,0.446576,6.686454
1991,10.150499,2.102151,0.608471,0.383694,0.371164,6.685020
1992,10.056525,2.248350,0.605307,0.373129,0.166522,6.663217
1993,10.150432,2.399121,0.616381,0.383548,0.082073,6.669308
1994,10.073327,2.348278,0.626743,0.390736,0.050377,6.657192
1995,10.188048,2.468304,0.623112,0.390571,0.066810,6.639252
1996,10.237677,2.522394,0.635120,0.411128,0.038031,6.631004
1997,10.399916,2.617831,0.645410,0.408754,0.104720,6.623201
1998,10.541431,2.638047,0.657822,0.406656,0.217686,6.621220
1999,10.762765,2.840943,0.659321,0.414336,0.221875,6.626290
2000,10.794298,2.933055,0.654963,0.400071,0.179117,6.627092
2001,10.701448,2.865388,0.666159,0.395974,0.138310,6.635617
2002,10.791728,2.992395,0.649394,0.376317,0.122868,6.650754
2003,10.761247,2.985908,0.648808,0.370787,0.109812,6.645931
2004,10.887919,3.108006,0.660309,0.376937,0.094392,6.648275
2005,10.748227,2.977347,0.656452,0.377933,0.087430,6.649065
2006,11.359950,3.155787,0.691986,0.388118,0.422160,6.701899
2007,11.573406,3.496193,0.700824,0.400275,0.367902,6.608213
2008,11.999247,3.812771,0.688664,0.405815,0.438625,6.653372
2009,11.655303,3.730882,0.684740,0.380920,0.243837,6.614923
2010,11.499486,3.626892,0.681017,0.370043,0.265789,6.555745
2011,11.230548,3.503761,0.659073,0.366371,0.201478,6.499865
2012,11.197706,3.499485,0.625761,0.373406,0.226536,6.472516
2013,11.167144,3.489108,0.619848,0.370530,0.249265,6.438394
2014,11.149399,3.464699,0.640667,0.388714,0.255983,6.399336
2015,11.177689,3.546783,0.645290,0.376657,0.251697,6.357263
2016,11.082973,3.504894,0.643942,0.372013,0.257572,6.304551
2017,11.103457,3.614894,0.632323,0.385447,0.228505,6.242289
2018,11.110884,3.671707,0.623003,0.375490,0.255164,6.185520
2019,10.949178,3.563206,0.587754,0.365271,0.269018,6.163928
2020,10.733505,3.337371,0.609463,0.363439,0.268943,6.154289
2021,10.852861,3.490845,0.617876,0.370424,0.238870,6.134846
2022,10.906568,3.597218,0.607402,0.364358,0.207085,6.130505
2023,10.806562,3.508449,0.588266,0.352690,0.194609,6.162549
2024,10.994963,3.676930,0.570027,0.364170,0.167917,6.215920
