"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,,,,
1962,,,,
1963,,,,
1964,,,,
1965,,,,
1966,,,,
1967,,,,
1968,,,,
1969,,,,
1970,,,,
1971,,,,
1972,,,,
1973,,,,
1974,,,,
1975,,,,
1976,,,,
1977,,,,
1978,,,,
1979,,,,
1980,,,,
1981,,,,
1982,,,,
1983,,,,
1984,,,,
1985,,,,
1986,,,,
1987,,,,
1988,,,,
1989,,,,
1990,,,,0.003239
1991,,,,0.003239
1992,0.000238,0.001188,0.019404,0.003646
1993,0.000943,0.000078,0.000048,0.003646
1994,0.001417,0.002881,0.000836,0
1995,0.001459,0.001000,0.000836,0.000100
1996,0.000100,0.000100,0.001600,0.000100
1997,0.000300,0.000100,0.001600,0.000100
1998,0.001800,0.003167,0,0
1999,0.001720,0.003217,0,0
2000,0,0,0.004000,0
2001,0,0,0,0
2002,0.000015,0.000002,0.000018,0
2003,0.000703,0,0.000046,0
2004,0.000423,0.000015,0.000004,0
2005,0.000070,0.000033,0.000670,0
2006,0.000040,0.000103,0.000164,0
2007,0.000513,0.000022,0.000046,0
2008,0.001027,0.000026,0.000130,0
2009,0.000141,0.000340,0.000004,0.000012
2010,0.000333,0.000071,0.000080,0.000010
2011,0.000244,0.000061,0.000030,0
2012,0.000200,0.000078,0,0.000041
2013,0.000091,0.000004,0,0.000012
2014,0.000018,0.000006,0.000056,0.000101
2015,0.000020,0.000006,0.000056,0.000101
2016,0.000051,0.000005,0.000004,0.000137
2017,0,0,0,0.001000
2018,0,0,0,0
2019,0,0,0,0
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2023,0,0,0,0
