"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,,,,,0.008700,
1962,,,,,0.009400,
1963,,,,,0.009900,
1964,,,,,0.010300,
1965,,,,,0.011300,
1966,,,,,0.011700,
1967,,,,,0.010100,
1968,,,,,0.009500,
1969,,,,,0.014800,
1970,,,,,0.016900,
1971,,,,,0.013100,
1972,,,,,0.014300,
1973,,,,,0.016100,
1974,,,,,0.018300,
1975,,,,,0.012100,
1976,,,,,0.012100,
1977,,,,,0.012824,
1978,,,,,0.015900,
1979,,,,,0.019300,
1980,,,,,0.019000,
1981,,,,,0.019800,
1982,,,,,0.017400,
1983,,,,,0.020700,
1984,,,,,0.018700,
1985,,,,,0.022100,
1986,,,,,0.025700,
1987,,,,,0.029700,
1988,,,,,0.029700,
1989,,,,,0.025700,
1990,0,,,,0.025700,
1991,0,,,,0.025700,
1992,0,,,,0.014878,0.009702
1993,0,,,,0.027068,0.000024
1994,0,,,,0.031315,0.000418
1995,0,,,,0.028400,0.000418
1996,0,,,,0.025700,0.000800
1997,0,,,,0.030800,0.000800
1998,0,,,0,0.027250,0
1999,0,,,0,0.028190,0
2000,0,,,0,0.034849,0.002000
2001,0,,,0,0.029360,0
2002,0,,,0,0.031564,0.000009
2003,0,,,0,0.033870,0.000023
2004,0,,,0,0.035948,0.000002
2005,0,,,0,0.038639,0.000335
2006,0,,,0,0.039936,0.000082
2007,0,,,0,0.037769,0.000023
2008,0,,,0,0.032933,0.000065
2009,0,,,0,0.025456,0.000002
2010,0,,,0,0.027860,0.000040
2011,0,,,0,0.030505,0.000015
2012,0,,,0,0.027286,0
2013,0,,,0,0.026372,0
2014,0,,,0,0.028207,0.000028
2015,0,,,0,0.028207,0.000028
2016,0,,,0,0.024321,0.000002
2017,0,,,0,0.020715,0
2018,0,,,0,0.037962,0
2019,0,,,0,0.034963,0
2020,0,,,0,0.033667,0
2021,0,,,0,0.011596,0
2022,0,,,0,0.015054,0
2023,0,,,0,0.015054,0
