"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,1.994389,0.462808,0.005160,0.878546,0.618329,0.029546
1991,2.016667,0.467729,0.004948,0.885567,0.643117,0.015307
1992,2.010531,0.470352,0.004833,0.859832,0.658906,0.016607
1993,2.036199,0.465839,0.004869,0.855756,0.680253,0.029482
1994,2.041994,0.456704,0.005066,0.856189,0.704979,0.019057
1995,2.050380,0.446525,0.005360,0.860574,0.728229,0.009692
1996,2.073090,0.438431,0.002912,0.867470,0.754029,0.010248
1997,2.101292,0.440165,0.003145,0.862877,0.776583,0.018522
1998,2.088611,0.442484,0.003013,0.855822,0.764560,0.022732
1999,2.080222,0.434000,0.002964,0.864846,0.765280,0.013131
2000,2.083252,0.417766,0.002923,0.839943,0.804842,0.017778
2001,2.089962,0.395081,0.002742,0.824962,0.854049,0.013128
2002,2.018806,0.376262,0.002619,0.806764,0.824363,0.008797
2003,2.037247,0.388574,0.002679,0.813480,0.817245,0.015269
2004,1.948547,0.360070,0.002823,0.781512,0.793580,0.010562
2005,1.966496,0.380483,0.002972,0.777277,0.796165,0.009599
2006,1.908838,0.362403,0.003050,0.761740,0.773284,0.008361
2007,1.957071,0.379965,0.002998,0.783897,0.759171,0.031039
2008,1.921842,0.391264,0.002823,0.776468,0.737900,0.013387
2009,1.915189,0.377108,0.001729,0.779693,0.741189,0.015469
2010,1.895633,0.386551,0.002392,0.761849,0.734335,0.010506
2011,1.847290,0.352884,0.002648,0.768652,0.708554,0.014552
2012,1.878820,0.375169,0.002529,0.761916,0.712373,0.026833
2013,1.801279,0.369271,0.002034,0.763022,0.660352,0.006600
2014,1.762565,0.346781,0.001921,0.748663,0.656219,0.008980
2015,1.761698,0.337021,0.001699,0.750205,0.664244,0.008529
2016,1.741906,0.319579,0.001908,0.758329,0.652657,0.009434
2017,1.762153,0.320799,0.001774,0.758288,0.649341,0.031950
2018,1.708060,0.300039,0.001764,0.750595,0.648976,0.006686
2019,1.662283,0.266573,0.001659,0.745794,0.641150,0.007107
2020,1.690246,0.255736,0.001364,0.752535,0.670852,0.009760
2021,1.684260,0.255895,0.001616,0.744317,0.661212,0.021219
2022,1.628328,0.219787,0.001382,0.733830,0.656415,0.016914
2023,1.593581,0.193397,0.001290,0.726962,0.659397,0.012536
2024,1.545457,0.190417,0.001097,0.692470,0.651855,0.009618
