"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,1.599600,0.239500,0.036100,1.599600,0.239500,0.036100
1962,1.761700,0.238700,0.026400,1.761700,0.238700,0.026400
1963,1.926400,0.288600,0.020700,1.926400,0.288600,0.020700
1964,2.045800,0.260900,0.051700,2.045800,0.260900,0.051700
1965,2.208000,0.259800,0.183300,2.208000,0.259800,0.183300
1966,2.524000,0.259000,0.186900,2.524000,0.259000,0.186900
1967,2.851000,0.282900,0.197000,2.851000,0.282900,0.197000
1968,3.052000,0.334900,0.230800,3.052000,0.334900,0.230800
1969,3.461000,0.406700,0.293200,3.461000,0.406700,0.293200
1970,3.549000,0.420200,0.320200,3.549000,0.420200,0.320200
1971,3.288000,0.467700,0.325000,3.288000,0.467700,0.325000
1972,3.723000,0.501700,0.356400,3.723000,0.501700,0.356400
1973,4.100000,0.598800,0.336000,3.682000,0.598800,0.336000
1974,4.200000,0.675100,0.429600,4.200000,0.675100,0.429600
1975,3.496000,0.320000,0.372500,3.496000,0.320000,0.372500
1976,4.499000,0.424000,0.441400,4.499000,0.424000,0.441400
1977,4.288000,0.448100,0.444700,4.288000,0.448100,0.444700
1978,4.616000,0.570200,0.554300,4.616000,0.570200,0.554300
1979,4.756800,0.757600,0.620000,4.756800,0.757600,0.620000
1980,4.934000,0.860700,0.500700,4.934000,0.860700,0.500700
1981,4.855000,0.815600,0.618500,4.855000,0.815600,0.618500
1982,4.503000,0.859100,0.449400,4.503000,0.859100,0.449400
1983,4.259000,1.208700,0.582600,4.259000,1.208700,0.582600
1984,4.722000,1.407400,0.791000,4.722000,1.407400,0.791000
1985,4.587000,1.422000,0.768000,4.587000,1.422000,0.768000
1986,4.631000,1.591000,0.822000,4.631000,1.591000,0.822000
1987,4.882000,1.884000,0.879000,4.882000,1.884000,0.879000
1988,5.512000,2.037000,1.152000,5.512000,2.037000,1.152000
1989,5.640000,2.319000,1.199000,5.640000,2.319000,1.199000
1990,5.732000,2.454000,1.111000,5.732000,2.454000,1.111000
1991,5.795000,2.522000,1.168000,5.795000,2.522000,1.168000
1992,6.040000,2.970210,1.239320,6.040000,2.970210,1.239316
1993,6.019000,2.989170,1.455050,6.019000,2.989166,1.455052
1994,6.705000,3.495000,1.639000,6.705000,3.495000,1.639000
1995,6.810000,3.218000,1.707000,6.810000,3.218000,1.707000
1996,6.954000,3.023000,1.790000,6.954000,3.023000,1.790000
1997,8.032000,3.564000,2.007000,8.032000,3.564000,2.007000
1998,8.253900,3.386000,2.047000,8.253900,3.386000,2.047000
1999,8.568000,4.028000,2.057000,8.568000,4.028000,2.057000
2000,9.129320,4.385000,2.241000,9.129317,4.385000,2.241000
2001,8.926000,4.157000,2.100000,8.926000,4.157000,2.099999
2002,9.317260,4.663740,2.345000,9.317261,4.663736,2.345001
2003,9.491000,4.677300,2.369110,9.491000,4.677297,2.369113
2004,9.667000,4.893380,2.673630,9.667000,4.893375,2.673632
2005,9.999370,4.382800,2.749820,9.999371,4.382798,2.749816
2006,10.008360,5.176460,3.491230,10.008360,5.176460,3.491234
2007,10.112030,5.315970,3.514130,10.112031,5.315970,3.514132
2008,9.467020,5.048060,3.388820,9.467019,5.048056,3.388824
2009,8.404170,4.605460,3.150280,8.404170,4.605461,3.150278
2010,9.086760,5.122280,3.069810,9.086755,5.122277,3.069812
2011,9.130260,4.996060,3.046210,9.130256,4.996060,3.046214
2012,8.587600,4.774440,3.151960,8.587595,4.774443,3.151963
2013,8.652140,4.694670,3.260960,8.652142,4.694665,3.260960
2014,8.648460,4.823630,3.342110,8.648460,4.823626,3.342105
2015,8.840350,4.952570,3.398100,8.840350,4.952569,3.398101
2016,8.888000,5.044560,3.386800,8.888000,5.044559,3.386801
2017,9.071480,5.285210,3.575750,9.071483,5.285214,3.575745
2018,9.080990,5.439250,3.348120,9.080992,5.439250,3.348124
2019,8.264760,5.184500,3.282660,8.264762,5.184500,3.282655
2020,7.894760,4.772800,3.082780,7.894761,4.772800,3.082782
2021,8.801850,4.799880,3.613800,8.801846,4.799882,3.613804
2022,8.069330,5.484720,3.106240,8.069325,5.484719,3.106238
2023,7.496000,4.695220,2.678450,7.496000,4.695215,2.678449
