"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-16.432086,-0.433491,-0.756417,-0.216617,
1991,-28.089490,-0.433491,-0.756417,-0.231396,
1992,-26.734870,-0.433491,-0.756417,-0.246174,
1993,-16.621790,-0.433491,-0.756417,-0.260953,
1994,-26.650341,-0.433491,-0.756417,-0.275732,
1995,-29.557212,-0.433491,-0.756417,-0.352262,
1996,-29.266113,-0.433491,-0.756417,-0.377365,
1997,-21.868522,-0.433491,-0.756417,-0.402468,
1998,-20.347701,-0.433491,-0.756417,-0.427572,
1999,-25.624842,-0.433491,-0.756417,-0.452675,
2000,-24.767918,-0.433491,-0.756418,-0.572316,
2001,-30.436914,-0.433491,-0.756417,-0.601670,
2002,-33.820775,-0.433491,-0.756417,-0.631023,
2003,-27.831949,-0.433491,-0.756417,-0.660377,
2004,-32.059694,-0.433491,-0.756417,-0.689731,
2005,-32.958816,-0.433491,-0.756417,-0.875002,
2006,-33.084189,-0.235297,-0.402925,-0.858603,
2007,-17.763825,-0.235297,-0.402925,-0.842204,
2008,-30.001222,-0.235297,-0.402925,-0.825804,
2009,-31.954927,-0.235297,-0.402925,-0.809405,
2010,-34.902791,-0.235297,-0.402925,-0.939897,
2011,-31.676799,-0.235297,-0.402925,-0.920460,
2012,-27.163364,-0.235297,-0.402925,-0.901023,
2013,-37.138154,-0.235297,-0.402925,-0.881586,
2014,-38.066152,-0.235297,-0.402925,-0.862149,
2015,-38.731267,-0.235297,-0.402925,-0.904493,
2016,-37.734067,-1.353049,-2.096641,-0.982032,
2017,-25.110153,-1.353049,-2.096641,-1.059570,
2018,-43.084993,-1.353049,-2.096641,-1.137109,
2019,-39.875559,-1.353049,-2.096641,-1.170413,
2020,-36.389446,-1.365449,-2.140797,-1.251746,
2021,-37.451881,-1.171698,-2.025002,-1.328170,
2022,-39.480130,-1.171698,-2.025002,-1.436045,
2023,-50.189590,-1.171698,-2.025002,-1.543920,
