"YYYYMM","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
200801,5.771843,18.733222,20.747854,
200802,5.440221,18.112453,19.399077,
200803,6.538830,17.911511,16.662138,
200804,4.841726,17.481811,13.187696,
200805,5.342066,17.582459,10.233957,
200806,6.169413,16.827720,10.129361,
200807,5.251778,19.417275,10.858997,
200808,5.384087,16.551967,8.486825,
200809,5.077712,18.639852,11.204045,
200810,5.469174,19.380214,12.412774,
200811,6.565850,18.144184,15.053139,
200812,6.286070,19.921118,18.766066,
200901,3.333363,16.195407,20.542240,
200902,5.987566,15.622050,17.423107,
200903,4.596235,17.081729,14.802880,
200904,4.510275,15.973264,9.467623,
200905,3.696999,16.034542,8.430637,
200906,3.501000,16.355573,8.304475,
200907,4.867348,18.033559,9.615571,
200908,3.402986,14.728079,8.095463,
200909,3.255385,16.769278,10.149925,
200910,4.908249,17.616775,12.553275,
200911,5.633513,15.920580,15.423912,
200912,4.694887,17.748893,19.225192,
201001,4.001944,14.900957,21.365495,
201002,6.746380,15.161481,18.642301,
201003,5.333151,16.963555,17.158963,
201004,5.048693,15.907987,11.526429,
201005,3.180550,15.417748,9.670698,
201006,4.440829,16.086366,8.999360,
201007,4.039190,17.448869,10.223311,
201008,4.835162,14.640299,7.741726,
201009,3.271486,16.206338,9.926238,
201010,4.605827,16.149258,12.560233,
201011,6.491399,15.975071,15.400281,
201012,6.223354,17.386202,21.131839,
201101,4.847275,14.201965,20.809727,
201102,4.726166,14.773358,17.682183,
201103,4.869989,15.814957,16.754295,
201104,6.459618,15.093271,9.760053,
201105,4.810037,15.043058,9.304055,
201106,5.318456,15.925400,8.566760,
201107,5.740749,16.184810,9.103556,
201108,5.907517,15.193147,7.794328,
201109,5.423371,15.654802,10.011734,
201110,5.538821,16.389554,10.847163,
201111,5.769111,15.221889,14.918281,
201112,6.028106,15.964864,17.448250,
201201,6.512811,14.050345,19.996796,
201202,6.467954,13.775719,21.161992,
201203,6.275156,14.613905,13.031541,
201204,5.312533,13.588637,10.439059,
201205,5.163083,14.455949,8.408426,
201206,5.475651,14.734169,8.163930,
201207,5.446865,15.401229,9.153607,
201208,5.246487,13.959141,8.124500,
201209,5.713128,13.958975,8.739595,
201210,5.418514,14.857838,9.967868,
201211,4.867001,13.983253,12.483457,
201212,5.059760,14.222769,18.043056,
201301,4.895381,12.293214,18.568609,
201302,4.831415,12.333786,17.349965,
201303,5.031549,13.360599,15.706741,
201304,4.781278,12.806361,9.609601,
201305,4.252230,13.237913,7.355094,
201306,4.539833,12.632157,6.956102,
201307,4.871616,14.465577,7.832760,
201308,4.781278,12.986103,6.372317,
201309,5.158946,12.989729,8.328121,
201310,4.835224,14.432865,9.574211,
201311,4.450614,12.605905,12.748607,
201312,5.352582,13.698460,17.298840,
201401,5.269929,12.974181,16.594977,
201402,4.692081,12.023999,13.672782,
201403,4.665916,12.900779,11.932744,
201404,4.034786,12.635805,8.097258,
201405,4.111274,13.091350,7.305718,
201406,4.336306,12.653090,7.052369,
201407,4.637119,14.092091,7.633705,
201408,4.202722,12.226762,5.956501,
201409,4.977691,13.178396,8.091279,
201410,5.221054,14.034898,9.020189,
201411,4.769481,12.467257,11.266925,
201412,4.921961,14.083186,14.964938,
201501,4.737228,12.536275,17.142148,
201502,4.243418,12.118228,15.901565,
201503,4.560960,13.211578,13.656326,
201504,4.041121,13.437434,8.770725,
201505,4.163714,12.792006,7.264645,
201506,4.061296,13.336719,7.138889,
201507,4.598987,14.906938,8.947568,
201508,4.355579,12.820025,6.918597,
201509,4.802046,13.858294,8.115937,
201510,4.468458,13.755575,9.519689,
201511,4.239298,13.050122,12.828617,
201512,4.790809,14.116491,16.552328,
201601,4.394826,11.712586,18.130916,
201602,4.235622,12.550188,14.918483,
201603,4.119148,13.225132,13.949584,
201604,3.555174,12.946359,8.755736,
201605,3.655364,13.187700,8.289187,
201606,3.639651,12.910180,7.377870,
201607,4.226679,13.462705,8.320922,
201608,3.242854,12.798277,7.066143,
201609,3.633862,13.269251,9.242192,
201610,4.410998,12.740943,11.187911,
201611,4.301170,12.079434,14.817232,
201612,4.886819,13.394377,18.738477,
201701,4.482598,11.385860,22.053817,
201702,3.762491,11.111904,15.990565,
201703,2.932126,12.703260,12.849053,
201704,2.838701,11.261111,9.571001,
201705,3.336276,12.718820,8.927631,
201706,3.621893,12.820043,8.626754,
201707,3.258975,12.757337,9.036531,
201708,3.310851,12.149324,7.862639,
201709,3.419164,12.156428,8.565395,
201710,3.732929,13.082603,10.366809,
201711,3.557641,12.177289,15.697638,
201712,3.543955,12.721853,19.213233,
201801,3.571128,11.639102,17.446509,
201802,3.290623,12.304943,17.751024,
201803,3.849964,13.196302,16.319524,
201804,2.579058,12.351428,9.332233,
201805,2.785451,12.785744,8.009502,
201806,2.692750,12.627158,7.827613,
201807,3.515607,13.261065,8.802341,
201808,3.264389,12.464924,7.833529,
201809,3.511268,12.010717,9.120712,
201810,3.588115,13.454126,9.929327,
201811,3.269263,12.369334,13.638515,
201812,3.295846,12.459966,17.664102,
201901,3.600756,12.046982,20.931277,
201902,2.795224,10.956077,15.926596,
201903,2.607083,11.683141,13.809384,
201904,2.628023,11.894797,10.933682,
201905,2.227799,12.037310,9.721040,
201906,2.253507,12.176770,8.545929,
201907,2.418086,13.205261,9.839541,
201908,1.690791,11.710129,8.243715,
201909,2.639068,12.684423,9.412916,
201910,2.648604,13.724413,10.307533,
201911,2.712656,11.882488,13.216826,
201912,2.258772,12.606438,15.887044,
202001,2.079070,11.944039,19.244262,
202002,1.638689,11.315744,15.022943,
202003,2.077367,7.983965,13.287512,
202004,1.576612,6.057552,8.474427,
202005,1.743621,8.122843,7.432022,
202006,1.608978,10.709487,8.128957,
202007,1.556828,12.450685,9.499009,
202008,1.543563,10.930760,8.160747,
202009,1.814157,11.868521,9.574472,
202010,2.324849,12.172597,10.614949,
202011,2.082087,10.611646,13.799803,
202012,2.072855,11.595252,17.579186,
202101,1.944891,9.535511,19.660146,
202102,2.031631,10.552505,15.366082,
202103,1.778925,11.248990,15.287075,
202104,1.669771,10.904817,12.330982,
202105,1.439810,11.804009,8.436155,
202106,1.822369,12.833040,8.640345,
202107,2.136480,13.609587,9.148690,
202108,2.028745,12.233432,7.767590,
202109,2.521498,12.878077,9.835063,
202110,2.057021,13.076335,11.140045,
202111,2.674273,12.211789,15.276989,
202112,2.464343,13.296958,19.435995,
202201,2.075754,11.504477,19.531112,
202202,2.513803,12.443022,15.395243,
202203,2.666433,13.466588,15.993245,
202204,2.343606,12.582255,10.571310,
202205,2.494230,12.854534,8.426057,
202206,2.612641,12.881138,8.492262,
202207,3.245332,13.755592,8.915666,
202208,2.404182,13.056122,7.645453,
202209,2.821920,13.860491,8.094929,
202210,2.697550,13.073126,8.498319,
202211,2.406329,13.197977,11.193275,
202212,3.059711,13.257200,14.793239,
202301,3.218101,11.273008,15.179673,
202302,2.557062,12.152102,14.265745,
202303,2.564267,13.300024,11.870972,
202304,0.752125,11.884945,9.322869,
202305,1.263913,12.814025,7.694747,
202306,2.094164,13.102013,7.361859,
202307,1.916531,13.837637,8.630867,
202308,1.281714,12.360418,6.885729,
202309,1.749375,12.678514,8.364557,
202310,1.098893,13.349674,8.745864,
202311,1.123614,12.939377,11.588522,
202312,0.965455,13.021597,14.596615,
202401,1.016066,12.053561,15.820122,
202402,1.029391,11.606233,12.814645,
202403,0.693245,12.430798,11.460340,
202404,0.821870,11.985095,8.325985,
202405,0.702193,12.634390,7.146778,
202406,0.872753,12.423299,6.920503,
202407,0.810529,14.079126,8.449989,
202408,0.848768,13.095227,7.491911,
202409,0.882246,12.568448,8.578009,
202410,1.069074,14.101099,8.780554,
202411,1.002976,12.626418,12.707019,
202412,1.175912,12.455580,15.916700,
202501,1.062774,11.521124,16.318458,
202502,0.950741,10.971280,14.729863,
202503,1.071979,11.971296,12.483758,
202504,0.981678,12.098599,8.448300,
202505,0.760619,12.227027,6.743766,
202506,0.686902,12.318192,7.266914,
202507,0.650857,13.322378,8.204902,
202508,0.714257,11.718581,6.434320,
202509,0.687777,12.452166,8.058611,
202510,0.673384,13.513243,9.452331,
202511,0.858903,11.284749,13.205379,
202512,0.793830,12.565013,15.622880,
202601,0.534632,10.792357,18.125254,
202602,0.669058,10.093357,13.444268,
202603,0.597211,11.693099,12.135665,
202604,0.592258,11.523202,7.830980,
202605,0.644924,11.026733,7.129565,
202606,0.587434,12.211918,7.497777,
202607,,,8.845570,
202608,,,7.346424,
202609,,,,
202610,,,,
202611,,,,
202612,,,,
