"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,1.156966,1.090892,0.074049,0.039293,0.029377,-0.076646
1991,1.161574,1.101282,0.074930,0.038909,0.029158,-0.082706
1992,1.167528,1.108658,0.074879,0.039779,0.029871,-0.085659
1993,1.158209,1.103230,0.073349,0.039794,0.029654,-0.087818
1994,1.212225,1.153455,0.076011,0.039974,0.031438,-0.088653
1995,1.224487,1.165474,0.076231,0.039047,0.031739,-0.088004
1996,1.236186,1.177038,0.077709,0.038162,0.031924,-0.088646
1997,1.227094,1.171170,0.075731,0.038239,0.032022,-0.090067
1998,1.185018,1.137209,0.068528,0.036984,0.031607,-0.089311
1999,1.215957,1.173909,0.063376,0.037019,0.030811,-0.089159
2000,1.237628,1.195478,0.066125,0.036958,0.030152,-0.091086
2001,1.217773,1.183229,0.061879,0.036168,0.028637,-0.092141
2002,1.244094,1.214707,0.059428,0.036354,0.027341,-0.093737
2003,1.241129,1.223398,0.058859,0.035853,0.027263,-0.104245
2004,1.238211,1.219107,0.058988,0.035728,0.026505,-0.102117
2005,1.249460,1.225890,0.059632,0.036172,0.025566,-0.097799
2006,1.232012,1.203230,0.060053,0.036011,0.024279,-0.091562
2007,1.271087,1.239253,0.058513,0.036375,0.023909,-0.086962
2008,1.208851,1.171773,0.054340,0.035250,0.024520,-0.077033
2009,1.141469,1.110636,0.048997,0.035062,0.021593,-0.074819
2010,1.187769,1.160362,0.049621,0.035315,0.020969,-0.078499
2011,1.236970,1.211091,0.049061,0.034540,0.019955,-0.077678
2012,1.272938,1.251333,0.049049,0.034150,0.019997,-0.081592
2013,1.289112,1.258902,0.050746,0.034452,0.020096,-0.075084
2014,1.242199,1.208358,0.050186,0.034072,0.018933,-0.069351
2015,1.206712,1.169268,0.048470,0.033870,0.018960,-0.063856
2016,1.190764,1.150413,0.047970,0.033919,0.017716,-0.059253
2017,1.171826,1.134495,0.048662,0.033846,0.017302,-0.062478
2018,1.125237,1.088214,0.047838,0.033141,0.017967,-0.061923
2019,1.093447,1.052988,0.046237,0.033118,0.017640,-0.056536
2020,1.026034,0.991512,0.043387,0.033134,0.016461,-0.058460
2021,1.047940,1.010788,0.044705,0.033201,0.016771,-0.057525
2022,1.023571,0.984550,0.041661,0.032647,0.016666,-0.051952
2023,0.981906,0.944539,0.039104,0.032365,0.016100,-0.050201
