"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,0.010500,0,,0.007500
1962,0.012000,0,0.000200,0.009100
1963,0.013000,0.000058,0.000104,0.006100
1964,0.017100,0.000133,0.000072,0.013200
1965,0.023400,0.000200,0.000072,0.025400
1966,0.020500,0.000305,0.000200,0.031600
1967,0.021100,0.000405,0.000400,0.029600
1968,0.028000,0.000605,0.000400,0.026200
1969,0.030500,0.001205,0.001200,0.014200
1970,0.029600,0.001305,0.001000,0.015200
1971,0.024000,0.000905,0.001200,0.011200
1972,0.009400,0.000405,0.001600,0.006000
1973,0.012400,0.000505,0.001400,0.001000
1974,0.015500,0.000505,0.003400,0.002000
1975,0.013700,0.000605,0.011200,0.003600
1976,0.016200,0.000800,0.030800,0.000440
1977,0.018200,0.001050,0.027200,0.007000
1978,0.008900,0.000750,0.027200,0.007000
1979,0.005900,0.000600,0.038400,0.003000
1980,0.010300,0.000400,0.038600,0.003100
1981,0.017700,0.000800,0.020200,0.006800
1982,0.004400,0.001500,0.033800,0.006700
1983,0.001600,0.001000,0.014000,0.011000
1984,0.001600,0.001000,0.008800,0.006000
1985,0.001700,0.001036,0.007000,
1986,0.001100,0.001900,0.005400,
1987,0.000400,0.001300,0.005200,
1988,0.000400,0.001300,0.005400,
1989,0.000009,0.000008,0.005202,
1990,0.000218,0,0.005510,0.000671
1991,0.000218,0,0.005510,0.000671
1992,0.002629,0.000097,0.014360,0.000671
1993,0.000578,0.001251,0.000232,0.000151
1994,0.002739,0.000169,0.002002,0.000156
1995,0.001359,0.000730,0.000414,0.000162
1996,0.001800,0,0,0
1997,0.000094,0.000006,0.000550,0.000067
1998,0.000200,0,0.003400,0
1999,0.000200,0,0.003400,0
2000,0.000200,0,0.020400,0
2001,0.001000,0,0.034400,0
2002,0.000503,0.003372,0.012972,0.000442
2003,0.000199,0.009170,0.037258,0.001353
2004,0.000740,0.012068,0.053660,0.005438
2005,0.000740,0.012068,0.053660,0.005438
2006,0.000886,0.007101,0.029404,0.000875
2007,0.000553,0.015867,0.043090,0.002062
2008,0.000434,0.018675,0.047340,0.001521
2009,0.000434,0.017252,0.047340,0.001521
2010,0.000272,0.021552,0.016444,0.000505
2011,0.000137,0.012756,0.010276,0.002963
2012,0.000382,0.010776,0.047906,0.002004
2013,0.001428,0.011897,0.052568,0.026407
2014,0.004558,0.008563,0.008052,0.010009
2015,0.000378,0.009394,0.017554,0.001064
2016,0.000380,0.004762,0.010718,0.000839
2017,0.000437,0.007168,0.022482,0.001630
2018,0.003789,0.003642,0.035670,0.015331
2019,0.003883,0.006560,0.024170,0.006386
2020,0.003832,0.006035,0.019536,0.004655
2021,0.002023,0.010141,0.040093,0.021024
2022,0.002898,0.009136,0.046780,0.010059
2023,0.002952,0.005712,0.036610,0.010184
