"Year","Commercial/institutional: Stationary combustion","Residential: Stationary combustion"
1990,1.324419,13.069858
1991,1.509789,13.522718
1992,1.545997,13.873615
1993,1.495791,14.142237
1994,1.503639,14.364841
1995,1.491156,13.920056
1996,1.430744,13.443002
1997,1.440062,13.529609
1998,1.483527,14.013243
1999,1.549642,15.041735
2000,1.622545,15.024974
2001,1.725726,15.343841
2002,1.758557,15.676798
2003,2.597942,25.857556
2004,2.663585,26.551595
2005,2.874622,27.198753
2006,2.959049,27.920930
2007,3.048126,28.666538
2008,3.118469,29.435612
2009,3.118470,30.218751
2010,3.268557,30.917480
2011,3.427966,31.752207
2012,3.549915,32.929249
2013,3.845339,35.836690
2014,3.845359,35.522489
2015,3.887563,36.118089
2016,8.820853,37.299819
2017,9.083457,38.411213
2018,9.078754,38.959868
2019,12.755294,40.713717
2020,12.895967,41.843874
2021,13.524359,43.025610
2022,15.016480,46.020701
